Perturbation	Synergies	Non-synergies
[5Z]-[AK]	66	154
[5Z]-[BI]	0	365
[5Z]-[CT]	0	389
[5Z]-[PD]	0	379
[5Z]-[PI]	5	381
[5Z]-[PK]	0	382
[5Z]-[JN]	0	135
[5Z]-[D1]	0	389
[5Z]-[60]	0	388
[5Z]-[SB]	0	387
[5Z]-[RU]	0	389
[5Z]-[D4]	0	389
[5Z]-[F4]	0	356
[5Z]-[ST]	0	386
[5Z]-[G2]	2	382
[5Z]-[G4]	0	389
[5Z]-[P5]	1	383
[AK]-[BI]	12	243
[AK]-[CT]	0	277
[AK]-[PD]	6	202
[AK]-[PI]	76	141
[AK]-[PK]	26	244
[AK]-[JN]	0	101
[AK]-[D1]	197	11
[AK]-[60]	0	240
[AK]-[SB]	9	260
[AK]-[RU]	0	277
[AK]-[D4]	40	229
[AK]-[F4]	230	32
[AK]-[ST]	4	272
[AK]-[G2]	106	100
[AK]-[G4]	1	276
[AK]-[P5]	7	252
[BI]-[CT]	0	426
[BI]-[PD]	3	396
[BI]-[PI]	36	367
[BI]-[PK]	32	385
[BI]-[JN]	0	152
[BI]-[D1]	21	405
[BI]-[60]	0	391
[BI]-[SB]	0	410
[BI]-[RU]	3	423
[BI]-[D4]	0	417
[BI]-[F4]	27	370
[BI]-[ST]	19	404
[BI]-[G2]	25	359
[BI]-[G4]	0	426
[BI]-[P5]	7	414
[CT]-[PD]	0	424
[CT]-[PI]	0	445
[CT]-[PK]	0	442
[CT]-[JN]	0	168
[CT]-[D1]	0	450
[CT]-[60]	0	416
[CT]-[SB]	0	439
[CT]-[RU]	0	450
[CT]-[D4]	0	441
[CT]-[F4]	0	426
[CT]-[ST]	0	447
[CT]-[G2]	0	443
[CT]-[G4]	0	450
[CT]-[P5]	0	445
[PD]-[PI]	40	377
[PD]-[PK]	8	408
[PD]-[JN]	0	157
[PD]-[D1]	3	421
[PD]-[60]	0	403
[PD]-[SB]	0	416
[PD]-[RU]	0	424
[PD]-[D4]	0	418
[PD]-[F4]	10	392
[PD]-[ST]	7	414
[PD]-[G2]	55	362
[PD]-[G4]	0	424
[PD]-[P5]	2	419
[PI]-[PK]	72	365
[PI]-[JN]	6	154
[PI]-[D1]	10	435
[PI]-[60]	1	409
[PI]-[SB]	0	434
[PI]-[RU]	0	445
[PI]-[D4]	1	435
[PI]-[F4]	182	239
[PI]-[ST]	62	380
[PI]-[G2]	3	436
[PI]-[G4]	0	445
[PI]-[P5]	9	431
[PK]-[JN]	0	162
[PK]-[D1]	55	387
[PK]-[60]	0	407
[PK]-[SB]	0	432
[PK]-[RU]	0	442
[PK]-[D4]	0	434
[PK]-[F4]	86	332
[PK]-[ST]	183	187
[PK]-[G2]	32	403
[PK]-[G4]	5	437
[PK]-[P5]	9	427
[JN]-[D1]	0	168
[JN]-[60]	0	153
[JN]-[SB]	0	163
[JN]-[RU]	0	168
[JN]-[D4]	0	165
[JN]-[F4]	0	161
[JN]-[ST]	0	162
[JN]-[G2]	0	163
[JN]-[G4]	0	168
[JN]-[P5]	0	167
[D1]-[60]	0	416
[D1]-[SB]	0	439
[D1]-[RU]	0	450
[D1]-[D4]	0	441
[D1]-[F4]	420	6
[D1]-[ST]	92	344
[D1]-[G2]	2	441
[D1]-[G4]	3	447
[D1]-[P5]	3	442
[60]-[SB]	0	412
[60]-[RU]	0	416
[60]-[D4]	0	414
[60]-[F4]	0	393
[60]-[ST]	0	413
[60]-[G2]	0	408
[60]-[G4]	0	416
[60]-[P5]	0	410
[SB]-[RU]	0	439
[SB]-[D4]	0	439
[SB]-[F4]	0	415
[SB]-[ST]	0	436
[SB]-[G2]	0	433
[SB]-[G4]	0	439
[SB]-[P5]	1	433
[RU]-[D4]	0	441
[RU]-[F4]	0	426
[RU]-[ST]	0	447
[RU]-[G2]	0	443
[RU]-[G4]	0	450
[RU]-[P5]	0	445
[D4]-[F4]	0	417
[D4]-[ST]	0	433
[D4]-[G2]	0	435
[D4]-[G4]	0	441
[D4]-[P5]	2	434
[F4]-[ST]	13	410
[F4]-[G2]	325	94
[F4]-[G4]	3	423
[F4]-[P5]	14	407
[ST]-[G2]	80	360
[ST]-[G4]	0	447
[ST]-[P5]	8	434
[G2]-[G4]	0	443
[G2]-[P5]	5	433
[G4]-[P5]	0	445
