Perturbation	Response excess over subset
[5Z]-[AK]	0.11254729062051061
[5Z]-[BI]	0.20384418468458088
[5Z]-[CT]	0.1947414614580577
[5Z]-[PD]	0.19559905511770925
[5Z]-[PI]	0.16824191383601123
[5Z]-[PK]	0.18998875063605997
[5Z]-[JN]	0.20479471052333464
[5Z]-[D1]	0.16638587478819022
[5Z]-[60]	0.19789973213188883
[5Z]-[SB]	0.19710994306328655
[5Z]-[RU]	0.1949536059340664
[5Z]-[D4]	0.19005383790233377
[5Z]-[F4]	0.1560361125604076
[5Z]-[ST]	0.1973135023436321
[5Z]-[G2]	0.16089497983185252
[5Z]-[G4]	0.2166010830925026
[5Z]-[P5]	0.1940557730976461
[AK]-[BI]	0.19178825818374884
[AK]-[CT]	0.1688450011786426
[AK]-[PD]	0.1561850110002041
[AK]-[PI]	0.14037369754703122
[AK]-[PK]	0.16571963957889357
[AK]-[JN]	0.20150803747660856
[AK]-[D1]	0.0833540508995419
[AK]-[60]	0.16142000897759035
[AK]-[SB]	0.16070179271816576
[AK]-[RU]	0.16877096735562558
[AK]-[D4]	0.14334327657975754
[AK]-[F4]	0.12024883599530528
[AK]-[ST]	0.16830519135437794
[AK]-[G2]	0.12713386268206794
[AK]-[G4]	0.17803323688649386
[AK]-[P5]	0.16369430034873733
[BI]-[CT]	0.20435511734554057
[BI]-[PD]	0.23739228380810817
[BI]-[PI]	0.16659350757757102
[BI]-[PK]	0.19123418039941154
[BI]-[JN]	0.21947366383634304
[BI]-[D1]	0.15586237436089612
[BI]-[60]	0.2078116935282065
[BI]-[SB]	0.2045365316562454
[BI]-[RU]	0.20265169825575347
[BI]-[D4]	0.20749614541790118
[BI]-[F4]	0.1616846927226428
[BI]-[ST]	0.1827341898417426
[BI]-[G2]	0.14608469285245412
[BI]-[G4]	0.201623117198801
[BI]-[P5]	0.20046235570449178
[CT]-[PD]	0.19782193114472613
[CT]-[PI]	0.18218870732808023
[CT]-[PK]	0.19666868535921156
[CT]-[JN]	0.2118213188430409
[CT]-[D1]	0.16308778331521018
[CT]-[60]	0.1998523231395517
[CT]-[SB]	0.19960756019419235
[CT]-[RU]	0.20045215587152143
[CT]-[D4]	0.19792539240291618
[CT]-[F4]	0.15578498216554404
[CT]-[ST]	0.19881539573521712
[CT]-[G2]	0.17403416951485595
[CT]-[G4]	0.2074540723544247
[CT]-[P5]	0.1998067964033624
[PD]-[PI]	0.15253319597348536
[PD]-[PK]	0.19034039539273206
[PD]-[JN]	0.20814606348634002
[PD]-[D1]	0.16787325060248331
[PD]-[60]	0.2002251406333727
[PD]-[SB]	0.1970718842592053
[PD]-[RU]	0.1971409429873986
[PD]-[D4]	0.19446210988537216
[PD]-[F4]	0.15131344339065783
[PD]-[ST]	0.19372135178574001
[PD]-[G2]	0.1358085646192832
[PD]-[G4]	0.20858734819575886
[PD]-[P5]	0.1960067181770493
[PI]-[PK]	0.1742348467250186
[PI]-[JN]	0.18738122871827778
[PI]-[D1]	0.19482148395480914
[PI]-[60]	0.17548730024662496
[PI]-[SB]	0.180411465348235
[PI]-[RU]	0.1821176558240204
[PI]-[D4]	0.17621595176340976
[PI]-[F4]	0.12560797301496401
[PI]-[ST]	0.17207893147957942
[PI]-[G2]	0.21185222753628796
[PI]-[G4]	0.1905977821507513
[PI]-[P5]	0.17655583333974817
