Perturbation	Response excess over subset
[5Z]-[AK]	-0.3745238095238095
[5Z]-[BI]	0.0
[5Z]-[CT]	0.0
[5Z]-[PD]	0.0
[5Z]-[PI]	0.0
[5Z]-[PK]	0.0
[5Z]-[JN]	0.0
[5Z]-[D1]	0.0
[5Z]-[60]	0.0
[5Z]-[SB]	0.0
[5Z]-[RU]	0.0
[5Z]-[D4]	0.0
[5Z]-[F4]	0.0
[5Z]-[ST]	0.0
[5Z]-[G2]	-0.05088435374149647
[5Z]-[G4]	-0.003834586466165746
[5Z]-[P5]	0.0
[AK]-[BI]	0.0
[AK]-[CT]	0.0
[AK]-[PD]	-0.245672268907563
[AK]-[PI]	-0.7223033707865169
[AK]-[PK]	-0.10868932038834944
[AK]-[JN]	0.0
[AK]-[D1]	-1.741470588235294
[AK]-[60]	-0.05323529411764705
[AK]-[SB]	-0.05973684210526309
[AK]-[RU]	0.0
[AK]-[D4]	-0.18605263157894725
[AK]-[F4]	-0.9386842105263158
[AK]-[ST]	-0.0043939393939393945
[AK]-[G2]	-1.0120588235294117
[AK]-[G4]	0.0
[AK]-[P5]	-0.1034615384615385
[BI]-[CT]	0.0
[BI]-[PD]	-0.10169985429820327
[BI]-[PI]	-0.07762586195467458
[BI]-[PK]	-0.10256884980328618
[BI]-[JN]	-0.05274725274725256
[BI]-[D1]	-0.057464788732394245
[BI]-[60]	-0.016268151544928777
[BI]-[SB]	0.0
[BI]-[RU]	-0.006402048655569814
[BI]-[D4]	-0.005148130160272046
[BI]-[F4]	-0.0550622576035924
[BI]-[ST]	-0.09763581488933593
[BI]-[G2]	-0.053192046049189035
[BI]-[G4]	-0.007042253521126973
[BI]-[P5]	-0.0654929577464789
[CT]-[PD]	0.0
[CT]-[PI]	0.0
[CT]-[PK]	0.0
[CT]-[JN]	0.0
[CT]-[D1]	0.0
[CT]-[60]	0.0
[CT]-[SB]	0.0
[CT]-[RU]	0.0
[CT]-[D4]	0.0
[CT]-[F4]	0.0
[CT]-[ST]	0.0
[CT]-[G2]	0.0
[CT]-[G4]	0.0
[CT]-[P5]	0.0
[PD]-[PI]	-0.2085780910783086
[PD]-[PK]	-0.08469609603932282
[PD]-[JN]	-0.07582417582417555
[PD]-[D1]	-0.01146853146853144
[PD]-[60]	0.0
[PD]-[SB]	-5.663350733771111E-4
[PD]-[RU]	0.0
[PD]-[D4]	-5.663350733771111E-4
[PD]-[F4]	-0.04201877934272291
[PD]-[ST]	-0.038461538461538325
[PD]-[G2]	-0.2573129251700681
[PD]-[G4]	0.0
[PD]-[P5]	-0.06926856926856928
[PI]-[PK]	-0.24141867326349953
[PI]-[JN]	0.0
[PI]-[D1]	-0.08273972602739721
[PI]-[60]	-0.043010169010142096
[PI]-[SB]	-0.007387469566031868
[PI]-[RU]	0.0
[PI]-[D4]	-0.014530326708888985
[PI]-[F4]	-0.4381819220707279
[PI]-[ST]	-0.11900085922812753
[PI]-[G2]	-0.05587255645674993
[PI]-[G4]	0.0
[PI]-[P5]	-0.041745939211213834
[PK]-[JN]	-0.10330776605944392
[PK]-[D1]	-0.16456375838926163
[PK]-[60]	0.0
[PK]-[SB]	0.0
[PK]-[RU]	0.0
[PK]-[D4]	0.0
[PK]-[F4]	-0.19347291804518374
[PK]-[ST]	-0.6725041946308723
[PK]-[G2]	-0.13896654552231835
[PK]-[G4]	-0.013422818791946067
[PK]-[P5]	-0.04718531707985196
[JN]-[D1]	-0.02285714285714291
[JN]-[60]	-0.00952380952380949
[JN]-[SB]	-0.00383795309168411
[JN]-[RU]	0.0
[JN]-[D4]	-0.00383795309168411
[JN]-[F4]	-0.02396322378716742
[JN]-[ST]	-0.00383795309168411
[JN]-[G2]	0.0
[JN]-[G4]	0.0
[JN]-[P5]	-0.001242236024844523
[D1]-[60]	-0.002388059701492473
[D1]-[SB]	-8.333333333332416E-4
[D1]-[RU]	0.0
[D1]-[D4]	-8.333333333332416E-4
[D1]-[F4]	-1.0035211267605633
[D1]-[ST]	-0.19379310344827583
[D1]-[G2]	-0.034421768707483036
[D1]-[G4]	-0.010000000000000009
[D1]-[P5]	-0.020540540540540553
[60]-[SB]	-1.6833127595106134E-4
[60]-[RU]	0.0
[60]-[D4]	-1.6833127595106134E-4
[60]-[F4]	-0.003129890453833939
[60]-[ST]	-5.127036572862842E-4
[60]-[G2]	-0.08111336137508429
[60]-[G4]	-0.003582089552239154
[60]-[P5]	-0.0022522522522523403
[SB]-[RU]	0.0
[SB]-[D4]	0.0
[SB]-[F4]	-8.995579315307367E-4
[SB]-[ST]	-4.4326241134751143E-4
[SB]-[G2]	-0.027785762192200636
[SB]-[G4]	-0.001034482758620836
[SB]-[P5]	-0.013989341454130333
[RU]-[D4]	0.0
[RU]-[F4]	0.0
[RU]-[ST]	0.0
[RU]-[G2]	0.0
[RU]-[G4]	0.0
[RU]-[P5]	0.0
[D4]-[F4]	-7.144315166358606E-4
[D4]-[ST]	-4.4326241134751143E-4
[D4]-[G2]	-0.027785762192200636
[D4]-[G4]	-0.001034482758620836
[D4]-[P5]	-0.021031594975256862
[F4]-[ST]	-0.018517580301955494
[F4]-[G2]	-0.7570422535211268
[F4]-[G4]	-0.010563380281690016
[F4]-[P5]	-0.07109679352712006
[ST]-[G2]	-0.17268990929705197
[ST]-[G4]	-0.010000000000000231
[ST]-[P5]	-0.015470643056850086
[G2]-[G4]	0.0
[G2]-[P5]	-0.05916021581046227
[G4]-[P5]	0.0
