Perturbation	Response excess over subset
[5Z]-[AK]	-0.3844183067427507
[5Z]-[BI]	0.0
[5Z]-[CT]	0.0
[5Z]-[PD]	0.0
[5Z]-[PI]	0.0
[5Z]-[PK]	0.0
[5Z]-[JN]	0.0
[5Z]-[D1]	0.0
[5Z]-[60]	0.0
[5Z]-[SB]	0.0
[5Z]-[RU]	3.944799111144093E-5
[5Z]-[D4]	1.977456990331916E-5
[5Z]-[F4]	0.0
[5Z]-[ST]	0.0
[5Z]-[G2]	-0.06404540263726366
[5Z]-[G4]	-0.0018518518518519933
[5Z]-[P5]	0.0
[AK]-[BI]	0.0
[AK]-[CT]	0.0
[AK]-[PD]	-0.18345685468057082
[AK]-[PI]	-0.6672628815228093
[AK]-[PK]	-0.17201582139550364
[AK]-[JN]	0.0
[AK]-[D1]	-1.7321230213829493
[AK]-[60]	-0.027516581311392896
[AK]-[SB]	-0.0396379234550468
[AK]-[RU]	0.0
[AK]-[D4]	-0.1579523036248709
[AK]-[F4]	-0.94144813023636
[AK]-[ST]	-0.03396248626589227
[AK]-[G2]	-0.948469175229103
[AK]-[G4]	0.0
[AK]-[P5]	-0.09200264557555049
[BI]-[CT]	0.0
[BI]-[PD]	-0.05535858831147822
[BI]-[PI]	-0.12268854228926518
[BI]-[PK]	-0.13757960449136908
[BI]-[JN]	-0.03014538845979109
[BI]-[D1]	-0.06882629107981209
[BI]-[60]	-0.005119244143163115
[BI]-[SB]	-7.242033762859812E-4
[BI]-[RU]	-0.005615661180196074
[BI]-[D4]	0.0
[BI]-[F4]	-0.0915009833009357
[BI]-[ST]	-0.11217303822937641
[BI]-[G2]	-0.0835665059861066
[BI]-[G4]	-0.0030275108595496647
[BI]-[P5]	-0.06731860356451502
[CT]-[PD]	0.0
[CT]-[PI]	0.0
[CT]-[PK]	0.0
[CT]-[JN]	0.0
[CT]-[D1]	0.0
[CT]-[60]	0.0
[CT]-[SB]	0.0
[CT]-[RU]	0.0
[CT]-[D4]	0.0
[CT]-[F4]	0.0
[CT]-[ST]	0.0
[CT]-[G2]	0.0
[CT]-[G4]	0.0
[CT]-[P5]	0.0
[PD]-[PI]	-0.15569176474541058
[PD]-[PK]	-0.043339932126696734
[PD]-[JN]	-0.033666969972702354
[PD]-[D1]	-0.004355345911949637
[PD]-[60]	0.0
[PD]-[SB]	-2.9411105633503354E-4
[PD]-[RU]	0.0
[PD]-[D4]	-9.757348677474909E-5
[PD]-[F4]	-0.022475649919416973
[PD]-[ST]	-0.03891509433962259
[PD]-[G2]	-0.2060247935522208
[PD]-[G4]	0.0
[PD]-[P5]	-0.028837184651261616
[PI]-[PK]	-0.24184805269525533
[PI]-[JN]	0.0
[PI]-[D1]	-0.06044939248302894
[PI]-[60]	-0.03802867585190306
[PI]-[SB]	-0.008130963008037284
[PI]-[RU]	0.0
[PI]-[D4]	-0.008081639180440803
[PI]-[F4]	-0.4674310163261921
[PI]-[ST]	-0.16517616491905907
[PI]-[G2]	-0.04077191832529792
[PI]-[G4]	0.0
[PI]-[P5]	-0.029575245811454653
[PK]-[JN]	-0.15412206158260666
[PK]-[D1]	-0.14956259426847662
[PK]-[60]	-6.642800760445766E-4
[PK]-[SB]	0.0
[PK]-[RU]	0.0
[PK]-[D4]	0.0
[PK]-[F4]	-0.17295912419589032
[PK]-[ST]	-0.6335881129998775
[PK]-[G2]	-0.1270230757454316
[PK]-[G4]	-0.007918552036199067
[PK]-[P5]	-0.05656108597285048
[JN]-[D1]	-0.02238095238095239
[JN]-[60]	-0.007002801120448154
[JN]-[SB]	-0.002191060473268891
[JN]-[RU]	0.0
[JN]-[D4]	-0.0012987012987011326
[JN]-[F4]	-0.02440282721972875
[JN]-[ST]	-0.027336860670193808
[JN]-[G2]	-0.029209239608776638
[JN]-[G4]	0.0
[JN]-[P5]	-0.024379811804961182
[D1]-[60]	-0.0010897435897434526
[D1]-[SB]	-3.3409263477590656E-4
[D1]-[RU]	0.0
[D1]-[D4]	-2.721088435373442E-4
[D1]-[F4]	-1.0035211267605635
[D1]-[ST]	-0.23207951070336374
[D1]-[G2]	-0.017893106820800364
[D1]-[G4]	-0.0033333333333331883
[D1]-[P5]	-0.01588014981273389
[60]-[SB]	-1.4002987303962655E-4
[60]-[RU]	0.0
[60]-[D4]	-6.967670011137628E-5
[60]-[F4]	-0.0018725585062537853
[60]-[ST]	-0.0033150787331197584
[60]-[G2]	-0.06574583916804899
[60]-[G4]	-0.0013621794871796489
[60]-[P5]	0.0
[SB]-[RU]	0.0
[SB]-[D4]	0.0
[SB]-[F4]	-3.7256154268505703E-4
[SB]-[ST]	-9.214749742754158E-4
[SB]-[G2]	-0.014400727403869329
[SB]-[G4]	-3.7878787878797837E-4
[SB]-[P5]	-0.004937089007404527
[RU]-[D4]	0.0
[RU]-[F4]	0.0
[RU]-[ST]	0.0
[RU]-[G2]	0.0
[RU]-[G4]	0.0
[RU]-[P5]	0.0
[D4]-[F4]	0.0
[D4]-[ST]	0.0
[D4]-[G2]	-0.015145774649885979
[D4]-[G4]	-3.016591251885359E-4
[D4]-[P5]	-0.006940006184929626
[F4]-[ST]	-0.04389338394432807
[F4]-[G2]	-0.8086743972755344
[F4]-[G4]	-0.0035211267605634866
[F4]-[P5]	-0.04743948323510816
[ST]-[G2]	-0.20675148747673333
[ST]-[G4]	-0.001953765846383071
[ST]-[P5]	-0.044514210178453695
[G2]-[G4]	0.0
[G2]-[P5]	-0.03451542804323671
[G4]-[P5]	0.0
