Perturbation	Response excess over subset
[PI]-[PD]	-0.08030574944198543
[PI]-[CT]	0.0
[PI]-[BI]	-0.01851218015296019
[PI]-[PK]	-0.1019038241961906
[PI]-[AK]	0.05340173733680831
[PI]-[5Z]	-0.019164098954321362
[PD]-[CT]	0.0
[PD]-[BI]	-0.023828214467974118
[PD]-[PK]	0.029053420805998154
[PD]-[AK]	-0.048286039357468113
[PD]-[5Z]	0.0011715858347063346
[CT]-[BI]	0.0
[CT]-[PK]	0.0
[CT]-[AK]	0.0
[CT]-[5Z]	0.0
[BI]-[PK]	-0.2457369545756446
[BI]-[AK]	0.07017393423534812
[BI]-[5Z]	0.10707404557053579
[PK]-[AK]	-0.03691933485510379
[PK]-[5Z]	0.056004447326676865
[AK]-[5Z]	-0.02721942231351071
