Perturbation	Response excess over subset
[PI]-[PD]	0.08440450895561868
[PI]-[CT]	0.14789031838856403
[PI]-[BI]	0.12007100034385776
[PI]-[PK]	0.09951756597747524
[PI]-[AK]	0.16083026350374158
[PI]-[5Z]	0.14338224214167805
[PD]-[CT]	0.19104015426497278
[PD]-[BI]	0.09240830817136503
[PD]-[PK]	0.18193321861004252
[PD]-[AK]	0.06488335676717333
[PD]-[5Z]	0.16086602482429824
[CT]-[BI]	0.15123970678703524
[CT]-[PK]	0.15589050791375814
[CT]-[AK]	0.1304079405541394
[CT]-[5Z]	0.18876245042483053
[BI]-[PK]	0.04825171130384831
[BI]-[AK]	0.17365285684738735
[BI]-[5Z]	0.30164427310427666
[PK]-[AK]	0.12675795811616958
[PK]-[5Z]	0.17254017582051084
[AK]-[5Z]	0.10273013241591716
