Perturbation	Response excess over subset
[5Z]-[AK]	-0.06307863942914438
[5Z]-[BI]	0.005461738528196536
[5Z]-[CT]	0.0022193658954584583
[5Z]-[PD]	0.0045870061570735254
[5Z]-[PI]	0.004899396235530928
[5Z]-[PK]	0.014236687775090129
[5Z]-[JN]	0.0026114269162533787
[5Z]-[D1]	0.002005141388174869
[5Z]-[60]	0.002397443627186191
[5Z]-[SB]	0.0022683338100435435
[5Z]-[RU]	0.0022259405606438465
[5Z]-[D4]	0.0022679548386490556
[5Z]-[F4]	0.001337784372371753
[5Z]-[ST]	0.0015778735391925869
[5Z]-[G2]	-0.009565311642754537
[5Z]-[G4]	9.731346599383128E-4
[5Z]-[P5]	0.003454527010197217
[AK]-[BI]	0.04212688864116476
[AK]-[CT]	0.001713464366894013
[AK]-[PD]	-0.025272081169525284
[AK]-[PI]	-0.046618661095221725
[AK]-[PK]	-0.003810502089203416
[AK]-[JN]	0.1370704395253841
[AK]-[D1]	-0.1584638783465498
[AK]-[60]	-0.0027325897575825042
[AK]-[SB]	-0.0048499220220773465
[AK]-[RU]	0.001713464366894013
[AK]-[D4]	-0.024576950910035644
[AK]-[F4]	-0.025532364702129717
[AK]-[ST]	-4.8552199441187494E-4
[AK]-[G2]	-0.05224373509364555
[AK]-[G4]	0.004371305311437701
[AK]-[P5]	-0.007825334902045178
[BI]-[CT]	0.0029668753260302383
[BI]-[PD]	-0.002464571573335017
[BI]-[PI]	-0.004854978811789867
[BI]-[PK]	-0.006459837104859312
[BI]-[JN]	0.006677925978811894
[BI]-[D1]	0.002673448095983244
[BI]-[60]	0.0015097282693861125
[BI]-[SB]	0.0021184366141814293
[BI]-[RU]	0.00124845918253913
[BI]-[D4]	0.0024653542950826557
[BI]-[F4]	-0.001131102226116787
[BI]-[ST]	-0.012098316971178136
[BI]-[G2]	7.550548120732747E-4
[BI]-[G4]	0.0022259182474564376
[BI]-[P5]	-0.0016476654865617002
[CT]-[PD]	0.0022069357092942
[CT]-[PI]	0.002036066062441444
[CT]-[PK]	0.0021505781799899815
[CT]-[JN]	0.0021957671957671954
[CT]-[D1]	0.0018469135802469117
[CT]-[60]	0.0022168803418803895
[CT]-[SB]	0.00221716021260443
[CT]-[RU]	0.002217283950617266
[CT]-[D4]	0.0022171831695640964
[CT]-[F4]	0.001843592418709794
[CT]-[ST]	0.0022073079791200545
[CT]-[G2]	0.0019172031494120167
[CT]-[G4]	0.0022160493827160233
[CT]-[P5]	0.0022005826050770505
[PD]-[PI]	-0.019645946544939896
[PD]-[PK]	-5.66166688010572E-4
[PD]-[JN]	0.001185877121949841
[PD]-[D1]	0.004991264849755539
[PD]-[60]	0.0023873102624576426
[PD]-[SB]	0.0022132162723473847
[PD]-[RU]	0.0022069357092942
[PD]-[D4]	0.0022357129657697428
[PD]-[F4]	0.001960933463642567
[PD]-[ST]	1.7939301844593913E-4
[PD]-[G2]	-0.028402727069387512
[PD]-[G4]	0.0035448331586303006
[PD]-[P5]	0.0020057475325654384
[PI]-[PK]	-0.010768928182076531
[PI]-[JN]	0.011344435331080205
[PI]-[D1]	0.059547505010826396
[PI]-[60]	-0.0041356373340543096
[PI]-[SB]	7.319231617554101E-4
[PI]-[RU]	0.002036066062441444
[PI]-[D4]	7.306785676559624E-4
[PI]-[F4]	-0.008407962201947838
[PI]-[ST]	-0.021380168013811818
[PI]-[G2]	0.06547676338146968
[PI]-[G4]	0.01687091003494179
[PI]-[P5]	0.003992879604669541
[PK]-[JN]	-0.014166055728107474
[PK]-[D1]	0.001867772750125729
[PK]-[60]	0.0022156332429239534
[PK]-[SB]	0.003458910745171906
[PK]-[RU]	0.0021505781799899815
[PK]-[D4]	0.003974516420184426
[PK]-[F4]	-0.0020798320455220898
[PK]-[ST]	-0.09910298406153117
[PK]-[G2]	0.006644114515138466
[PK]-[G4]	0.0013684640522876323
[PK]-[P5]	-2.9657498262780635E-6
[JN]-[D1]	0.0061640211640212605
[JN]-[60]	0.0012080954176542091
[JN]-[SB]	0.0018856096738065764
[JN]-[RU]	0.0021957671957671954
[JN]-[D4]	0.0020241285547408783
[JN]-[F4]	0.005809250087419171
[JN]-[ST]	0.0020753682200364
[JN]-[G2]	0.005402524556101684
[JN]-[G4]	0.007626998989358591
[JN]-[P5]	0.005558599227441285
[D1]-[60]	0.0018162393162394208
[D1]-[SB]	0.0018375094912680412
[D1]-[RU]	0.0018469135802469117
[D1]-[D4]	0.0018392542202065876
[D1]-[F4]	-0.02714049730481649
[D1]-[ST]	-0.03310199153035176
[D1]-[G2]	0.11109494876088188
[D1]-[G4]	0.001753086419753247
[D1]-[P5]	0.0054465251768622824
[60]-[SB]	0.002249090284287214
[60]-[RU]	0.0022283819981188113
[60]-[D4]	0.002250510014485174
[60]-[F4]	0.0016821775608634182
[60]-[ST]	0.0018351998359962263
[60]-[G2]	-0.008883742223756319
[60]-[G4]	0.0021701388888887285
[60]-[P5]	0.002565420101046434
[SB]-[RU]	0.00221716021260443
[SB]-[D4]	0.002262408380208636
[SB]-[F4]	0.0018276936269087107
[SB]-[ST]	0.0021090372171289617
[SB]-[G2]	-4.348788256970382E-4
[SB]-[G4]	0.0022084455028645866
[SB]-[P5]	0.001432874320219213
[RU]-[D4]	0.0022171831695640964
[RU]-[F4]	0.001843592418709794
[RU]-[ST]	0.0022073079791200545
[RU]-[G2]	0.0019172031494120167
[RU]-[G4]	0.0022160493827160233
[RU]-[P5]	0.0022005826050770505
[D4]-[F4]	0.0020518623769334443
[D4]-[ST]	0.005123518700978602
[D4]-[G2]	-5.67966030682987E-4
[D4]-[G4]	0.0022109983594578164
[D4]-[P5]	0.0010888247566720466
[F4]-[ST]	-0.0017476674241480028
[F4]-[G2]	-0.020907069048146876
[F4]-[G4]	0.0017176360632932264
[F4]-[P5]	1.7208286864478506E-4
[ST]-[G2]	-0.028668370392193165
[ST]-[G4]	0.0024335073328363155
[ST]-[P5]	-7.729801821941829E-4
[G2]-[G4]	0.004655086701355393
[G2]-[P5]	0.0026486559434009127
[G4]-[P5]	0.006336430692060024
