Perturbation	Response excess over subset
[5Z]-[AK]	-0.06699146661942312
[5Z]-[BI]	0.007176703713276278
[5Z]-[CT]	0.0033207547169811225
[5Z]-[PD]	0.0037516454585343473
[5Z]-[PI]	0.0012405773494411632
[5Z]-[PK]	0.01851056330394185
[5Z]-[JN]	0.002619565272477309
[5Z]-[D1]	0.0026918238993709487
[5Z]-[60]	0.0037593449626200925
[5Z]-[SB]	0.0033207547169811225
[5Z]-[RU]	0.0033207547169811225
[5Z]-[D4]	0.0033207547169811225
[5Z]-[F4]	3.4856424256091145E-4
[5Z]-[ST]	0.0033207547169811225
[5Z]-[G2]	0.0021440922922669747
[5Z]-[G4]	0.0033207547169811225
[5Z]-[P5]	0.004704402515723238
[AK]-[BI]	0.04838304453030484
[AK]-[CT]	0.002685185185185124
[AK]-[PD]	-0.07901062116178381
[AK]-[PI]	0.012716491271006825
[AK]-[PK]	-0.013231157464095422
[AK]-[JN]	0.08232570806100226
[AK]-[D1]	-0.08486726874657902
[AK]-[60]	-0.013783328904243164
[AK]-[SB]	-0.0024588477366255246
[AK]-[RU]	0.002685185185185124
[AK]-[D4]	-0.01754801097393688
[AK]-[F4]	-0.010712974660078478
[AK]-[ST]	0.002685185185185124
[AK]-[G2]	0.037805302351338166
[AK]-[G4]	0.005626361655773571
[AK]-[P5]	-0.005536113806674181
[BI]-[CT]	0.0032819634703196154
[BI]-[PD]	-0.024319231660343554
[BI]-[PI]	0.003232069583706032
[BI]-[PK]	-0.0017458105510765876
[BI]-[JN]	0.010263180614711653
[BI]-[D1]	0.005279680365296691
[BI]-[60]	6.785520977403703E-4
[BI]-[SB]	0.0035414072229140725
[BI]-[RU]	0.0032819634703196154
[BI]-[D4]	0.0035414072229140725
[BI]-[F4]	-2.9790492964132387E-4
[BI]-[ST]	-0.0012842465753425403
[BI]-[G2]	0.006331225851773814
[BI]-[G4]	0.0032819634703196154
[BI]-[P5]	5.873258249776692E-4
[CT]-[PD]	0.0033139534883720456
[CT]-[PI]	0.0032194444444444414
[CT]-[PK]	0.0031918039712716118
