Perturbation	Response excess over subset
[5Z]-[AK]	-0.42018779342723
[5Z]-[BI]	0.0
[5Z]-[CT]	0.0
[5Z]-[PD]	0.0
[5Z]-[PI]	-0.014424460431654573
[5Z]-[PK]	0.0
[5Z]-[JN]	-0.0067687348912168765
[5Z]-[D1]	-0.0026415094339622414
[5Z]-[60]	0.0
[5Z]-[SB]	0.0
[5Z]-[RU]	0.0
[5Z]-[D4]	0.0
[5Z]-[F4]	-0.016633056757131115
[5Z]-[ST]	0.0
[5Z]-[G2]	-0.008117335562987549
[5Z]-[G4]	0.0
[5Z]-[P5]	0.0
[AK]-[BI]	0.0
[AK]-[CT]	0.0
[AK]-[PD]	-0.502164502164502
[AK]-[PI]	-0.08883994126284867
[AK]-[PK]	-0.28460451977401124
[AK]-[JN]	0.0
[AK]-[D1]	-1.330870279146141
[AK]-[60]	-0.10093896713615025
[AK]-[SB]	-0.030864197530864113
[AK]-[RU]	0.0
[AK]-[D4]	-0.12139917695473246
[AK]-[F4]	-0.900462892320421
[AK]-[ST]	0.0
[AK]-[G2]	-0.12745098039215685
[AK]-[G4]	0.0
[AK]-[P5]	-0.05604075691411925
[BI]-[CT]	0.0
[BI]-[PD]	-0.18026151930261536
[BI]-[PI]	-0.06991408934707888
[BI]-[PK]	-0.09901486485386801
[BI]-[JN]	0.0
[BI]-[D1]	-0.04506849315068484
[BI]-[60]	-0.018221269476105917
[BI]-[SB]	0.0
[BI]-[RU]	0.0
[BI]-[D4]	0.0
[BI]-[F4]	-0.07825625607922881
[BI]-[ST]	-0.027397260273972712
[BI]-[G2]	-0.04770066889632085
[BI]-[G4]	0.0
[BI]-[P5]	-0.02437273454785105
[CT]-[PD]	0.0
[CT]-[PI]	0.0
[CT]-[PK]	0.0
[CT]-[JN]	0.0
[CT]-[D1]	0.0
[CT]-[60]	0.0
[CT]-[SB]	0.0
[CT]-[RU]	0.0
[CT]-[D4]	0.0
[CT]-[F4]	0.0
[CT]-[ST]	0.0
[CT]-[G2]	0.0
[CT]-[G4]	0.0
[CT]-[P5]	0.0
[PD]-[PI]	-0.2891860465116278
[PD]-[PK]	-0.012327893630588616
[PD]-[JN]	-0.04856711915535472
[PD]-[D1]	-0.014883720930232602
[PD]-[60]	0.0
[PD]-[SB]	0.0
[PD]-[RU]	0.0
[PD]-[D4]	0.0
[PD]-[F4]	-0.026912251246851815
[PD]-[ST]	0.0
[PD]-[G2]	-0.624154157268414
[PD]-[G4]	0.0
[PD]-[P5]	0.0
[PI]-[PK]	-0.2225198755617006
[PI]-[JN]	0.0
[PI]-[D1]	-0.023333333333333206
[PI]-[60]	-0.029496124031007653
[PI]-[SB]	0.0
[PI]-[RU]	-0.001375838926174211
[PI]-[D4]	0.0
[PI]-[F4]	-0.19581749049429642
[PI]-[ST]	-0.0066666666666663765
[PI]-[G2]	-0.013377926421404673
[PI]-[G4]	0.0
[PI]-[P5]	-0.038333129882812234
[PK]-[JN]	-0.12211281993076462
[PK]-[D1]	-0.2594676806083649
[PK]-[60]	0.0
[PK]-[SB]	0.0
[PK]-[RU]	0.0
[PK]-[D4]	0.0
[PK]-[F4]	-0.20934560736441865
[PK]-[ST]	-0.564630408200868
[PK]-[G2]	-0.231303330493279
[PK]-[G4]	-0.0019011406844109402
[PK]-[P5]	-0.011784113269518226
[JN]-[D1]	-0.015294117647058902
[JN]-[60]	-0.0067687348912168765
[JN]-[SB]	0.0
[JN]-[RU]	0.0
[JN]-[D4]	0.0
[JN]-[F4]	-0.011056940913013902
[JN]-[ST]	0.0
[JN]-[G2]	0.0
[JN]-[G4]	0.0
[JN]-[P5]	0.0
[D1]-[60]	-0.0026415094339622414
[D1]-[SB]	0.0
[D1]-[RU]	0.0
[D1]-[D4]	0.0
[D1]-[F4]	-0.9999999999999999
[D1]-[ST]	-0.006666666666666599
[D1]-[G2]	-0.021806020066889698
[D1]-[G4]	0.0
[D1]-[P5]	-0.008333333333333304
[60]-[SB]	0.0
[60]-[RU]	0.0
[60]-[D4]	0.0
[60]-[F4]	-0.005455447181352158
[60]-[ST]	0.0
[60]-[G2]	-0.08036195921890155
[60]-[G4]	0.0
[60]-[P5]	0.0
[SB]-[RU]	0.0
[SB]-[D4]	0.0
[SB]-[F4]	0.0
[SB]-[ST]	0.0
[SB]-[G2]	0.0
[SB]-[G4]	0.0
[SB]-[P5]	-0.010000000000000231
[RU]-[D4]	0.0
[RU]-[F4]	0.0
[RU]-[ST]	0.0
[RU]-[G2]	-0.004457425653077607
[RU]-[G4]	0.0
[RU]-[P5]	0.0
[D4]-[F4]	0.0
[D4]-[ST]	0.0
[D4]-[G2]	0.0
[D4]-[G4]	0.0
[D4]-[P5]	-0.010000000000000231
[F4]-[ST]	-0.015209125475285079
[F4]-[G2]	-0.429534438220184
[F4]-[G4]	0.0
[F4]-[P5]	-0.017746417081017762
[ST]-[G2]	-0.006688963210702337
[ST]-[G4]	0.0
[ST]-[P5]	0.0
[G2]-[G4]	0.0
[G2]-[P5]	-0.030100130317203266
[G4]-[P5]	0.0
