Perturbation	Response excess over subset
[5Z]-[AK]	-0.4086923892813544
[5Z]-[BI]	0.0
[5Z]-[CT]	0.0
[5Z]-[PD]	-0.045253717000306004
[5Z]-[PI]	-0.160247283336183
[5Z]-[PK]	-0.0838409720032236
[5Z]-[JN]	0.0
[5Z]-[D1]	-0.049002662004605235
[5Z]-[60]	0.0
[5Z]-[SB]	0.0
[5Z]-[RU]	0.0
[5Z]-[D4]	-0.07447970395551495
[5Z]-[F4]	-0.06544352228970401
[5Z]-[ST]	-0.010760467399948626
[5Z]-[G2]	-0.1520899346479747
[5Z]-[G4]	0.0
[5Z]-[P5]	-0.0155142247538822
[AK]-[BI]	0.0
[AK]-[CT]	0.0
[AK]-[PD]	-0.11804438002898687
[AK]-[PI]	-0.4108682544467892
[AK]-[PK]	-0.0651005423440334
[AK]-[JN]	0.0
[AK]-[D1]	-0.8805247615020746
[AK]-[60]	-0.059408485479779616
[AK]-[SB]	-0.05961546963279951
[AK]-[RU]	0.0
[AK]-[D4]	-0.1915927638617494
[AK]-[F4]	-0.5989668014963451
[AK]-[ST]	-0.024367719360410933
[AK]-[G2]	-0.5974779885762885
[AK]-[G4]	0.0
[AK]-[P5]	-0.03922712390777794
[BI]-[CT]	0.013389219323009849
[BI]-[PD]	0.15930243950230238
[BI]-[PI]	-0.06505969428969216
[BI]-[PK]	-0.0031468820818374432
[BI]-[JN]	0.08048335613315105
[BI]-[D1]	-0.01805952731401661
[BI]-[60]	0.014460723649482032
[BI]-[SB]	0.0
[BI]-[RU]	0.0018475870064393884
[BI]-[D4]	0.0
[BI]-[F4]	0.0
[BI]-[ST]	-0.06533542852541241
[BI]-[G2]	-0.14056643308348327
[BI]-[G4]	0.0
[BI]-[P5]	0.0
[CT]-[PD]	0.0
[CT]-[PI]	0.0
[CT]-[PK]	0.0
[CT]-[JN]	0.003334436455168177
[CT]-[D1]	0.0
[CT]-[60]	0.0
[CT]-[SB]	0.0
[CT]-[RU]	0.0
[CT]-[D4]	0.0
[CT]-[F4]	0.0
[CT]-[ST]	0.0
[CT]-[G2]	0.0
[CT]-[G4]	0.0019376462174380826
[CT]-[P5]	0.0
[PD]-[PI]	-0.22339863665133008
[PD]-[PK]	-0.08845774941934814
[PD]-[JN]	0.0
[PD]-[D1]	-0.012231420394162362
[PD]-[60]	0.0
[PD]-[SB]	-0.013497536945812794
[PD]-[RU]	0.0
[PD]-[D4]	-0.061659894465968534
[PD]-[F4]	-0.06714653701212087
[PD]-[ST]	-0.04571698831738402
[PD]-[G2]	-0.2728964461349662
[PD]-[G4]	0.0
[PD]-[P5]	-0.01704620188982675
[PI]-[PK]	-0.09778986489664288
[PI]-[JN]	0.0
[PI]-[D1]	-0.041803480219536227
[PI]-[60]	-0.05629503439806327
[PI]-[SB]	-0.02232331262597609
[PI]-[RU]	0.0
[PI]-[D4]	-0.0775231334498303
[PI]-[F4]	-0.4043027961736571
[PI]-[ST]	-0.08351144310766145
[PI]-[G2]	-0.020705260500142653
[PI]-[G4]	0.0
[PI]-[P5]	-0.04283137533361625
[PK]-[JN]	0.0
[PK]-[D1]	-0.13100912460344888
[PK]-[60]	-0.02763820282344054
[PK]-[SB]	-0.01976839554387233
[PK]-[RU]	0.0
[PK]-[D4]	-0.043361180571342084
[PK]-[F4]	-0.07258594184879019
[PK]-[ST]	-0.2638341678007584
[PK]-[G2]	-0.0881229000331668
[PK]-[G4]	0.0
[PK]-[P5]	-0.019039774343415194
[JN]-[D1]	0.0
[JN]-[60]	0.0
[JN]-[SB]	0.0
[JN]-[RU]	0.0
[JN]-[D4]	0.0
[JN]-[F4]	0.0
[JN]-[ST]	0.0
[JN]-[G2]	0.0
[JN]-[G4]	0.15564453375097287
[JN]-[P5]	0.0
[D1]-[60]	0.0
[D1]-[SB]	-0.00904561468190579
[D1]-[RU]	0.0
[D1]-[D4]	-0.05639765797160873
[D1]-[F4]	-0.8194817038949377
[D1]-[ST]	-0.18798925716189213
[D1]-[G2]	-0.022773370420261396
[D1]-[G4]	0.0
[D1]-[P5]	-0.003402771067521293
[60]-[SB]	-0.01660280325255825
[60]-[RU]	0.0
[60]-[D4]	-0.027081915920785127
[60]-[F4]	-0.021547000809948036
[60]-[ST]	-0.02461086496243725
[60]-[G2]	-0.07401558954576581
[60]-[G4]	0.0
[60]-[P5]	-0.013297756918956294
[SB]-[RU]	0.0
[SB]-[D4]	0.0
[SB]-[F4]	-0.010321158549523701
[SB]-[ST]	-0.015880253543643974
[SB]-[G2]	-0.01999453940560414
[SB]-[G4]	0.0
[SB]-[P5]	-0.01794993915445886
[RU]-[D4]	0.0
[RU]-[F4]	0.0
[RU]-[ST]	0.0
[RU]-[G2]	0.0
[RU]-[G4]	0.0
[RU]-[P5]	0.0
[D4]-[F4]	-0.08835412022498113
[D4]-[ST]	-0.029794739729367414
[D4]-[G2]	-0.06920912150400371
[D4]-[G4]	0.0
[D4]-[P5]	-0.015585745797090933
[F4]-[ST]	-0.03759878123434801
[F4]-[G2]	-0.5797149781191799
[F4]-[G4]	0.0
[F4]-[P5]	-0.021588770672746338
[ST]-[G2]	-0.11318836860825077
[ST]-[G4]	0.0
[ST]-[P5]	-0.018716271882625257
[G2]-[G4]	0.0
[G2]-[P5]	-0.03006076985565198
[G4]-[P5]	0.0
