Perturbation	Response excess over subset
[5Z]-[AK]	-0.4635542654410578
[5Z]-[BI]	0.0
[5Z]-[CT]	0.0
[5Z]-[PD]	-0.00844551689103401
[5Z]-[PI]	-0.04807707398802341
[5Z]-[PK]	0.0
[5Z]-[JN]	-0.006254653760238149
[5Z]-[D1]	0.0
[5Z]-[60]	0.0
[5Z]-[SB]	0.0
[5Z]-[RU]	0.0
[5Z]-[D4]	0.0
[5Z]-[F4]	-2.9757476565972496E-4
[5Z]-[ST]	0.0
[5Z]-[G2]	-0.045856228403104105
[5Z]-[G4]	-6.382978723404875E-4
[5Z]-[P5]	-0.011337868480725266
[AK]-[BI]	0.0
[AK]-[CT]	0.0
[AK]-[PD]	-0.14707977207977208
[AK]-[PI]	-0.3530982905982907
[AK]-[PK]	-0.12530907643517497
[AK]-[JN]	0.0
[AK]-[D1]	-1.5350427350427351
[AK]-[60]	-0.031339031339031376
[AK]-[SB]	-0.041322928279450055
[AK]-[RU]	0.0
[AK]-[D4]	-0.15436640654031963
[AK]-[F4]	-0.9193861693861693
[AK]-[ST]	-0.14979369289714128
[AK]-[G2]	-0.6126956688754441
[AK]-[G4]	0.0
[AK]-[P5]	-0.056967338217338126
[BI]-[CT]	0.0
[BI]-[PD]	-0.08558394160583926
[BI]-[PI]	-0.12253086150638604
[BI]-[PK]	-0.08739717978848427
[BI]-[JN]	-0.05688756515264304
[BI]-[D1]	-0.08062344656172349
[BI]-[60]	0.0
[BI]-[SB]	0.0
[BI]-[RU]	-0.010616438356163993
[BI]-[D4]	0.0
[BI]-[F4]	-0.047723269097314835
[BI]-[ST]	-0.10433956604339567
[BI]-[G2]	-0.0983398041973147
[BI]-[G4]	0.0
[BI]-[P5]	-0.03448905109489031
[CT]-[PD]	0.0
[CT]-[PI]	0.0
[CT]-[PK]	0.0
[CT]-[JN]	0.0
[CT]-[D1]	0.0
[CT]-[60]	0.0
[CT]-[SB]	0.0
[CT]-[RU]	0.0
[CT]-[D4]	0.0
[CT]-[F4]	0.0
[CT]-[ST]	0.0
[CT]-[G2]	0.0
[CT]-[G4]	0.0
[CT]-[P5]	0.0
[PD]-[PI]	-0.07486001663849118
[PD]-[PK]	0.0
[PD]-[JN]	-0.027941176470588136
[PD]-[D1]	0.0
[PD]-[60]	0.0
[PD]-[SB]	0.0
[PD]-[RU]	0.0
[PD]-[D4]	0.0
[PD]-[F4]	0.0
[PD]-[ST]	-0.00577068277424253
[PD]-[G2]	-0.16369954883550797
[PD]-[G4]	-0.011811023622047223
[PD]-[P5]	-0.0030264074133588004
[PI]-[PK]	-0.2151234540989786
[PI]-[JN]	-0.09385978870822065
[PI]-[D1]	-0.20772039645279095
[PI]-[60]	-0.012786254550014142
[PI]-[SB]	0.0
[PI]-[RU]	0.0
[PI]-[D4]	0.0
[PI]-[F4]	-0.3797562731386259
[PI]-[ST]	-0.2681373275628607
[PI]-[G2]	-0.04647829750522492
[PI]-[G4]	-0.015277850438677909
[PI]-[P5]	-0.04577294580684654
[PK]-[JN]	-0.11534749034749048
[PK]-[D1]	-0.21331535311157745
[PK]-[60]	0.0
[PK]-[SB]	0.0
[PK]-[RU]	0.0
[PK]-[D4]	0.0
[PK]-[F4]	-0.18310261167404018
[PK]-[ST]	-0.7379189189189188
[PK]-[G2]	-0.1605215827338129
[PK]-[G4]	-0.03716216216216228
[PK]-[P5]	-0.03874650512581557
[JN]-[D1]	-0.06003521126760569
[JN]-[60]	-0.0030129124820659214
[JN]-[SB]	0.0
[JN]-[RU]	0.0
[JN]-[D4]	0.0
[JN]-[F4]	-0.06790986790986775
[JN]-[ST]	-0.1186643835616441
[JN]-[G2]	-0.0801644398766701
[JN]-[G4]	0.0
[JN]-[P5]	-0.021305595408894984
[D1]-[60]	0.0
[D1]-[SB]	0.0
[D1]-[RU]	0.0
[D1]-[D4]	0.0
[D1]-[F4]	-1.0262389149713096
[D1]-[ST]	-0.3283323127168811
[D1]-[G2]	-0.15441926923862015
[D1]-[G4]	-0.023229655712050157
[D1]-[P5]	-0.04483736954098694
[60]-[SB]	0.0
[60]-[RU]	0.0
[60]-[D4]	0.0
[60]-[F4]	-0.0012432012432010975
[60]-[ST]	0.0
[60]-[G2]	-0.06554126777318281
[60]-[G4]	-5.633802816902289E-4
[60]-[P5]	0.0
[SB]-[RU]	0.0
[SB]-[D4]	0.0
[SB]-[F4]	0.0
[SB]-[ST]	0.0
[SB]-[G2]	0.0
[SB]-[G4]	0.0
[SB]-[P5]	-0.00680272108843516
[RU]-[D4]	0.0
[RU]-[F4]	0.0
[RU]-[ST]	0.0
[RU]-[G2]	0.0
[RU]-[G4]	0.0
[RU]-[P5]	0.0
[D4]-[F4]	0.0
[D4]-[ST]	0.0
[D4]-[G2]	0.0
[D4]-[G4]	0.0
[D4]-[P5]	-0.00680272108843516
[F4]-[ST]	-0.15420346077280378
[F4]-[G2]	-0.7663344118567998
[F4]-[G4]	-0.010270979020978954
[F4]-[P5]	-0.03259240759240756
[ST]-[G2]	-0.35905099449851874
[ST]-[G4]	-0.010273972602739878
[ST]-[P5]	-0.03324771689497741
[G2]-[G4]	-0.022317357381700376
[G2]-[P5]	-0.029590925799506174
[G4]-[P5]	0.0
