Perturbation	Response excess over subset
[5Z]-[AK]	-0.041240434732203735
[5Z]-[BI]	0.0031982562731610598
[5Z]-[CT]	0.0010981308411215362
[5Z]-[PD]	0.0015549228394725612
[5Z]-[PI]	-0.004495549330017279
[5Z]-[PK]	0.0066279464010216005
[5Z]-[JN]	0.003830899278202682
[5Z]-[D1]	0.002871345978822659
[5Z]-[60]	3.991528764734076E-4
[5Z]-[SB]	0.002941421895860996
[5Z]-[RU]	0.0010981308411215362
[5Z]-[D4]	0.0028979611704496033
[5Z]-[F4]	-3.9666658176806813E-4
[5Z]-[ST]	0.003774955596621332
[5Z]-[G2]	-0.003707219483956914
[5Z]-[G4]	0.003399532710280262
[5Z]-[P5]	3.5513511274110066E-4
[AK]-[BI]	0.035931286834233966
[AK]-[CT]	8.39455157637059E-4
[AK]-[PD]	-0.018476182908000904
[AK]-[PI]	0.019285807163910818
[AK]-[PK]	1.5699946914071727E-4
[AK]-[JN]	0.021783379552740345
[AK]-[D1]	-0.06738496290908158
[AK]-[60]	-0.009986125132444568
[AK]-[SB]	-0.0044217326559374825
[AK]-[RU]	0.0012985919804102686
[AK]-[D4]	-0.007791558714854041
[AK]-[F4]	-0.01765186102642291
[AK]-[ST]	-0.0010656445085556188
[AK]-[G2]	0.003765828137837657
[AK]-[G4]	2.5404536768180996E-4
[AK]-[P5]	-3.9748321606769554E-4
[BI]-[CT]	0.0011007761748080824
[BI]-[PD]	-0.02209969483707863
[BI]-[PI]	0.009042744483448883
[BI]-[PK]	-0.0029403796737105248
[BI]-[JN]	0.007048673388565629
[BI]-[D1]	-3.702765563129429E-5
[BI]-[60]	-0.007465644108207492
[BI]-[SB]	0.0021431615729262665
[BI]-[RU]	8.730708654863806E-4
[BI]-[D4]	0.002308206095837151
[BI]-[F4]	0.002110888854553461
[BI]-[ST]	-0.009386428272133318
[BI]-[G2]	0.005322451958879371
[BI]-[G4]	3.223867375345968E-4
[BI]-[P5]	-0.001047038015179913
[CT]-[PD]	0.0011008547008547476
[CT]-[PI]	0.001047146179996461
[CT]-[PK]	0.0010827473042663849
