Perturbation	Response excess over subset
[5Z]-[AK]	-0.300398891702097
[5Z]-[BI]	-0.03596714811668056
[5Z]-[CT]	0.0
[5Z]-[PD]	-0.04540806181291357
[5Z]-[PI]	-0.09303158303595271
[5Z]-[PK]	-0.028536473965809606
[5Z]-[JN]	-0.02041099309465011
[5Z]-[D1]	-0.03944658944658941
[5Z]-[60]	-0.01511957463752811
[5Z]-[SB]	0.0
[5Z]-[RU]	0.0
[5Z]-[D4]	-0.004672897196261516
[5Z]-[F4]	-0.06055061905047965
[5Z]-[ST]	-0.04594250154997814
[5Z]-[G2]	-0.08608575008950936
[5Z]-[G4]	0.0
[5Z]-[P5]	-0.020629138172915784
[AK]-[BI]	0.0
[AK]-[CT]	0.0
[AK]-[PD]	-0.15270070838252647
[AK]-[PI]	-0.14524621689063877
[AK]-[PK]	-0.11477530276321501
[AK]-[JN]	0.0
[AK]-[D1]	-1.2721249066332554
[AK]-[60]	-0.07330552925824518
[AK]-[SB]	-0.04002163954050486
[AK]-[RU]	0.0
[AK]-[D4]	-0.06361340679522476
[AK]-[F4]	-0.876980503173371
[AK]-[ST]	-0.10348038645093682
[AK]-[G2]	-0.3816689623507805
[AK]-[G4]	-0.006030824212642338
[AK]-[P5]	-0.01978351495648356
[BI]-[CT]	0.0
[BI]-[PD]	-0.18746762758213542
[BI]-[PI]	0.0
[BI]-[PK]	-0.07202628273263123
[BI]-[JN]	-0.001208887823202609
[BI]-[D1]	-0.0453467324137069
[BI]-[60]	-0.06235054794365302
[BI]-[SB]	-0.004832076228999949
[BI]-[RU]	-0.0013662318559304332
[BI]-[D4]	-0.008264570508175861
[BI]-[F4]	-0.03365031734381074
[BI]-[ST]	-0.11093194682111385
[BI]-[G2]	-0.018896856537229834
[BI]-[G4]	-0.007972665148063829
[BI]-[P5]	-0.029097004340912225
[CT]-[PD]	0.0
[CT]-[PI]	0.0
[CT]-[PK]	0.0
[CT]-[JN]	0.0
[CT]-[D1]	0.0
[CT]-[60]	0.0
[CT]-[SB]	0.0
[CT]-[RU]	0.0
[CT]-[D4]	0.0
[CT]-[F4]	0.0
[CT]-[ST]	0.0
[CT]-[G2]	0.0
[CT]-[G4]	0.0
[CT]-[P5]	0.0
[PD]-[PI]	-0.17445692164955018
[PD]-[PK]	-0.03827674701284822
[PD]-[JN]	-0.04023291449586264
[PD]-[D1]	-0.029812889812889765
[PD]-[60]	-1.709401709399927E-4
[PD]-[SB]	-0.012726839723743666
[PD]-[RU]	0.0
[PD]-[D4]	-0.018461538461538307
[PD]-[F4]	-0.0457480763961402
[PD]-[ST]	-0.057392763000239544
[PD]-[G2]	-0.28211658177702326
[PD]-[G4]	-0.004615384615384688
[PD]-[P5]	-0.029765892367039637
[PI]-[PK]	-0.20053531792662227
[PI]-[JN]	-0.033094044877872264
[PI]-[D1]	-0.1826766525561705
[PI]-[60]	-0.03308099209240778
[PI]-[SB]	-0.00774471178650149
[PI]-[RU]	0.0
[PI]-[D4]	-0.011385488485530448
[PI]-[F4]	-0.31895727313091293
[PI]-[ST]	-0.21014492753623149
[PI]-[G2]	-0.08991228070175428
[PI]-[G4]	0.0
[PI]-[P5]	-0.02576284136843121
[PK]-[JN]	-0.033720688939613996
[PK]-[D1]	-0.22571683358485384
[PK]-[60]	0.0
[PK]-[SB]	-0.018155239992289296
[PK]-[RU]	0.0
[PK]-[D4]	-0.018155239992289296
[PK]-[F4]	-0.09556665048655888
[PK]-[ST]	-0.5042157568553316
[PK]-[G2]	-0.26325482213821827
[PK]-[G4]	-0.006383181731441923
[PK]-[P5]	-0.020186384089110998
[JN]-[D1]	-0.03094905250077651
[JN]-[60]	-0.008549667951516238
[JN]-[SB]	-0.01416430594900886
[JN]-[RU]	-0.004249291784702791
[JN]-[D4]	-0.016997167138810276
[JN]-[F4]	-0.03402688306443857
[JN]-[ST]	-0.06288998585651306
[JN]-[G2]	0.0
[JN]-[G4]	0.0
[JN]-[P5]	-0.009008494253270438
[D1]-[60]	0.0
[D1]-[SB]	-0.010081510081510148
[D1]-[RU]	-0.0022522522522521182
[D1]-[D4]	-0.014616657473800254
[D1]-[F4]	-1.0207249012353419
[D1]-[ST]	-0.28715682267125264
[D1]-[G2]	-0.13724244046026213
[D1]-[G4]	-0.010594113044001707
[D1]-[P5]	-0.023942140423107938
[60]-[SB]	-0.012522603978300406
[60]-[RU]	0.0
[60]-[D4]	-0.013121609403255352
[60]-[F4]	-0.008125660956796565
[60]-[ST]	-0.022688961055058687
[60]-[G2]	-0.0621345029239766
[60]-[G4]	-0.0037974683544304
[60]-[P5]	-0.013761909382600912
[SB]-[RU]	0.0
[SB]-[D4]	0.0
[SB]-[F4]	-0.011515126068061932
[SB]-[ST]	-0.017377680043980437
[SB]-[G2]	-0.014787592422452533
[SB]-[G4]	-0.0033482142857144126
[SB]-[P5]	-0.011955393719181195
[RU]-[D4]	0.0
[RU]-[F4]	0.0
[RU]-[ST]	-0.007009345794392718
[RU]-[G2]	0.0
[RU]-[G4]	0.0
[RU]-[P5]	0.0
[D4]-[F4]	-0.011515126068061932
[D4]-[ST]	-0.01772174219714362
[D4]-[G2]	-0.018528240801504836
[D4]-[G4]	-0.0033482142857144126
[D4]-[P5]	-0.014313884285218847
[F4]-[ST]	-0.1097878094445599
[F4]-[G2]	-0.5291499322841264
[F4]-[G4]	-0.007943847110330804
[F4]-[P5]	-0.01792891020883869
[ST]-[G2]	-0.26428677671172407
[ST]-[G4]	-0.023467484875425715
[ST]-[P5]	-0.021495327102803774
[G2]-[G4]	0.0
[G2]-[P5]	-0.04043311403508776
[G4]-[P5]	-0.004554643454650176
