Perturbation	Response excess over subset
[5Z]-[AK]	-0.06649514630513276
[5Z]-[BI]	0.005861496606657024
[5Z]-[CT]	0.0
[5Z]-[PD]	-0.0024607322265736142
[5Z]-[PI]	-0.0012997474984377533
[5Z]-[PK]	0.005629581296591191
[5Z]-[JN]	-7.917614471435463E-4
[5Z]-[D1]	0.0043282318350506
[5Z]-[60]	-2.456851544763161E-5
[5Z]-[SB]	0.0
[5Z]-[RU]	1.6177793955352016E-5
[5Z]-[D4]	-3.842895182764039E-4
[5Z]-[F4]	-7.29439399863141E-4
[5Z]-[ST]	0.009299158543411012
[5Z]-[G2]	-0.0072066523588258935
[5Z]-[G4]	4.718262724967559E-6
[5Z]-[P5]	-5.087735367608204E-4
[AK]-[BI]	0.0393733020544389
[AK]-[CT]	0.0
[AK]-[PD]	-0.01709473955568308
[AK]-[PI]	-0.01461739594920275
[AK]-[PK]	0.004328468259203966
[AK]-[JN]	0.10517638981365385
[AK]-[D1]	-0.11845383250569641
[AK]-[60]	-0.006333978397222051
[AK]-[SB]	-0.009969325153374231
[AK]-[RU]	0.0
[AK]-[D4]	-0.02915965112603458
[AK]-[F4]	-0.027172656980362864
[AK]-[ST]	-0.0019505966116958318
[AK]-[G2]	-0.020117413470575607
[AK]-[G4]	0.008586039329904316
[AK]-[P5]	-0.005028920248972613
[BI]-[CT]	0.0
[BI]-[PD]	-0.009499742617810725
[BI]-[PI]	-0.008053653093409774
[BI]-[PK]	-0.001150175588059299
[BI]-[JN]	0.013387226973861743
[BI]-[D1]	-0.0015774408410936802
[BI]-[60]	-5.271744056070116E-4
[BI]-[SB]	7.758484851978498E-4
[BI]-[RU]	-3.773262254735954E-4
[BI]-[D4]	0.0011784249747309739
[BI]-[F4]	-8.215038144209208E-4
[BI]-[ST]	-0.008219818201334883
[BI]-[G2]	-0.008115109714568636
[BI]-[G4]	9.704701291813889E-4
[BI]-[P5]	1.301951135627144E-4
[CT]-[PD]	0.0
[CT]-[PI]	0.0
[CT]-[PK]	0.0
[CT]-[JN]	0.0
[CT]-[D1]	0.0
[CT]-[60]	0.0
[CT]-[SB]	0.0
[CT]-[RU]	0.0
[CT]-[D4]	0.0
[CT]-[F4]	0.0
[CT]-[ST]	0.0
[CT]-[G2]	0.0
[CT]-[G4]	0.0
[CT]-[P5]	0.0
[PD]-[PI]	-0.016231475607644597
[PD]-[PK]	0.0038695875596455043
[PD]-[JN]	-0.0020513344226580355
[PD]-[D1]	0.00713586561838897
[PD]-[60]	-1.6058839588217744E-5
[PD]-[SB]	-4.8414427499365864E-5
[PD]-[RU]	0.0
[PD]-[D4]	7.746308399902979E-4
[PD]-[F4]	1.4813272979430359E-4
[PD]-[ST]	-5.970308309839467E-4
[PD]-[G2]	-0.024592238379375964
[PD]-[G4]	0.0015528927620430677
[PD]-[P5]	5.59931978137751E-4
[PI]-[PK]	-0.009753102326303997
[PI]-[JN]	0.00596371865177503
[PI]-[D1]	0.049685037173369584
[PI]-[60]	-0.0035032600102712363
[PI]-[SB]	0.0011895179090373187
[PI]-[RU]	3.968253968253954E-4
[PI]-[D4]	4.5144463068091945E-4
[PI]-[F4]	-0.013417283444188799
[PI]-[ST]	-0.01862620087090372
[PI]-[G2]	0.06491467487935643
[PI]-[G4]	0.008374960172826684
[PI]-[P5]	-0.005005569469342386
[PK]-[JN]	-0.006468174521940484
[PK]-[D1]	-0.009946073484123463
[PK]-[60]	0.0013456650559324768
[PK]-[SB]	0.0011122819341997658
[PK]-[RU]	-9.055794140899742E-5
[PK]-[D4]	0.0011122819341997658
[PK]-[F4]	-0.004365137816308873
[PK]-[ST]	-0.07941365394551281
[PK]-[G2]	-0.004728592535425569
[PK]-[G4]	-0.0016970452110418588
[PK]-[P5]	-0.001074381482186082
[JN]-[D1]	-0.0017647187455710478
[JN]-[60]	-9.599401595744572E-4
[JN]-[SB]	-2.1398779880466012E-4
[JN]-[RU]	0.0
[JN]-[D4]	-0.0012100037350597503
[JN]-[F4]	0.0019222936728624518
[JN]-[ST]	-0.00175916376724905
[JN]-[G2]	0.0022401707993366937
[JN]-[G4]	0.00320525096303359
[JN]-[P5]	0.004064934680870214
[D1]-[60]	0.0011919568822553739
[D1]-[SB]	-3.275681341718961E-4
[D1]-[RU]	0.0
[D1]-[D4]	-3.275681341718961E-4
[D1]-[F4]	-0.03163693704467263
[D1]-[ST]	-0.040734000524711544
[D1]-[G2]	0.10140212341272681
[D1]-[G4]	-0.001529877864612783
[D1]-[P5]	-3.256654587959762E-4
[60]-[SB]	0.0
[60]-[RU]	0.0
[60]-[D4]	0.0
[60]-[F4]	-1.3293158454463772E-4
[60]-[ST]	0.0021692954309213697
[60]-[G2]	-0.009664513953729803
[60]-[G4]	-5.4804207548886374E-5
[60]-[P5]	3.555176643188496E-5
[SB]-[RU]	0.0
[SB]-[D4]	0.0
[SB]-[F4]	-2.4225849519998732E-5
[SB]-[ST]	0.0011717968504387777
[SB]-[G2]	-8.511197496456901E-4
[SB]-[G4]	-8.322929671233936E-6
[SB]-[P5]	-4.8634435994054925E-4
[RU]-[D4]	0.0
[RU]-[F4]	0.0
[RU]-[ST]	0.0
[RU]-[G2]	0.0010510591097752098
[RU]-[G4]	0.0
[RU]-[P5]	0.0
[D4]-[F4]	0.001728110599078292
[D4]-[ST]	0.005598654724806917
[D4]-[G2]	-6.98102624134167E-4
[D4]-[G4]	1.7894298793175167E-4
[D4]-[P5]	-4.8634435994054925E-4
[F4]-[ST]	-0.004800505662781451
[F4]-[G2]	-0.025608147156712335
[F4]-[G4]	-8.976856847849879E-4
[F4]-[P5]	-7.668607459108134E-4
[ST]-[G2]	-0.034189559928428315
[ST]-[G4]	6.294480983434214E-4
[ST]-[P5]	0.0018504093281881406
[G2]-[G4]	0.002234353737899264
[G2]-[P5]	-0.0015504071253861218
[G4]-[P5]	0.002946284198867999
