Perturbation	Response excess over subset
[5Z]-[AK]	-0.4139826175869121
[5Z]-[BI]	0.0
[5Z]-[CT]	0.0
[5Z]-[PD]	-0.03438837463919597
[5Z]-[PI]	-0.025880659194219557
[5Z]-[PK]	0.0
[5Z]-[JN]	-0.024291463744588793
[5Z]-[D1]	0.0
[5Z]-[60]	-1.474110926844574E-4
[5Z]-[SB]	0.0
[5Z]-[RU]	0.0
[5Z]-[D4]	-0.0023057371096584234
[5Z]-[F4]	-0.020803406230966326
[5Z]-[ST]	0.0
[5Z]-[G2]	-0.06014865295711802
[5Z]-[G4]	-0.004401502952227521
[5Z]-[P5]	-0.022698482956792887
[AK]-[BI]	0.0
[AK]-[CT]	0.0
[AK]-[PD]	-0.132371155967564
[AK]-[PI]	-0.47341889209671595
[AK]-[PK]	-0.15447852792411632
[AK]-[JN]	0.0
[AK]-[D1]	-1.5498557915576956
[AK]-[60]	-0.03800387038333253
[AK]-[SB]	-0.059815950920245387
[AK]-[RU]	0.0
[AK]-[D4]	-0.17495790675620748
[AK]-[F4]	-0.9308851333101825
[AK]-[ST]	-0.10582822085889565
[AK]-[G2]	-0.7772956257169934
[AK]-[G4]	0.0
[AK]-[P5]	-0.054929957434903365
[BI]-[CT]	0.0
[BI]-[PD]	-0.09546539379474916
[BI]-[PI]	-0.15318989783189618
[BI]-[PK]	-0.11692600966440558
[BI]-[JN]	0.0
[BI]-[D1]	-0.10294117647058809
[BI]-[60]	-0.0031630464336425135
[BI]-[SB]	0.0
[BI]-[RU]	-0.0022639573528424606
[BI]-[D4]	0.0
[BI]-[F4]	-0.10019644697064067
[BI]-[ST]	-0.16151264264936227
[BI]-[G2]	-0.1467532723545184
[BI]-[G4]	0.0
[BI]-[P5]	-0.03117243396569691
[CT]-[PD]	0.0
[CT]-[PI]	0.0
[CT]-[PK]	0.0
[CT]-[JN]	0.0
[CT]-[D1]	0.0
[CT]-[60]	0.0
[CT]-[SB]	0.0
[CT]-[RU]	0.0
[CT]-[D4]	0.0
[CT]-[F4]	0.0
[CT]-[ST]	0.0
[CT]-[G2]	0.0
[CT]-[G4]	0.0
[CT]-[P5]	0.0
[PD]-[PI]	-0.13328728772653076
[PD]-[PK]	-0.014446246391313533
[PD]-[JN]	-0.05110243055555541
[PD]-[D1]	0.0
[PD]-[60]	-9.635303752952851E-5
[PD]-[SB]	-2.9048656499641723E-4
[PD]-[RU]	0.0
[PD]-[D4]	0.0
[PD]-[F4]	-0.03172317314022388
[PD]-[ST]	-0.04198837314924164
[PD]-[G2]	-0.18112224996099258
[PD]-[G4]	0.0
[PD]-[P5]	-0.029003068512561292
[PI]-[PK]	-0.27587625592567644
[PI]-[JN]	-0.023218727696534103
[PI]-[D1]	-0.11602798053527974
[PI]-[60]	-0.021019560061626752
[PI]-[SB]	0.0
[PI]-[RU]	0.0
[PI]-[D4]	0.0
[PI]-[F4]	-0.5025762708431059
[PI]-[ST]	-0.22513368166825076
[PI]-[G2]	-0.04496832398666717
[PI]-[G4]	0.0
[PI]-[P5]	-0.059853423998373234
[PK]-[JN]	-0.10071151573894888
[PK]-[D1]	-0.25342326992554276
[PK]-[60]	0.0
[PK]-[SB]	0.0
[PK]-[RU]	-5.433476484539845E-4
[PK]-[D4]	0.0
[PK]-[F4]	-0.22364960124571276
[PK]-[ST]	-0.5954337899543378
[PK]-[G2]	-0.23162386070095908
[PK]-[G4]	-0.01445083206449116
[PK]-[P5]	-0.037732721653673806
[JN]-[D1]	-0.06318027210884347
[JN]-[60]	-0.005759640957446965
[JN]-[SB]	-0.0012839267928286269
[JN]-[RU]	0.0
[JN]-[D4]	-0.007260022410358502
[JN]-[F4]	-0.042065793334368884
[JN]-[ST]	-0.07367765318835673
[JN]-[G2]	-0.04173116615067096
[JN]-[G4]	0.0
[JN]-[P5]	-0.007836031626506035
[D1]-[60]	0.0
[D1]-[SB]	-0.0019654088050313767
[D1]-[RU]	0.0
[D1]-[D4]	-0.0019654088050313767
[D1]-[F4]	-1.0142543859649122
[D1]-[ST]	-0.345464782964783
[D1]-[G2]	-0.09656326034063256
[D1]-[G4]	-0.012805810397553463
[D1]-[P5]	-0.028534755134281165
[60]-[SB]	0.0
[60]-[RU]	0.0
[60]-[D4]	0.0
[60]-[F4]	-7.975895072669381E-4
[60]-[ST]	0.0
[60]-[G2]	-0.05798708372237815
[60]-[G4]	-3.288252452930962E-4
[60]-[P5]	0.0
[SB]-[RU]	0.0
[SB]-[D4]	0.0
[SB]-[F4]	-1.4535509711888217E-4
[SB]-[ST]	0.0
[SB]-[G2]	-0.005106718497873253
[SB]-[G4]	-4.9937578027847707E-5
[SB]-[P5]	-0.0029180661596432955
[RU]-[D4]	0.0
[RU]-[F4]	0.0
[RU]-[ST]	0.0
[RU]-[G2]	0.0
[RU]-[G4]	0.0
[RU]-[P5]	0.0
[D4]-[F4]	0.0
[D4]-[ST]	0.0
[D4]-[G2]	-0.004188615744805446
[D4]-[G4]	0.0
[D4]-[P5]	-0.0029180661596432955
[F4]-[ST]	-0.13180001110432515
[F4]-[G2]	-0.8721313364055301
[F4]-[G4]	-0.009082137320861827
[F4]-[P5]	-0.031691180800429875
[ST]-[G2]	-0.31115631531800547
[ST]-[G4]	-5.760127351179811E-4
[ST]-[P5]	-0.020800685106686867
[G2]-[G4]	0.0
[G2]-[P5]	-0.037187292599848654
[G4]-[P5]	0.0
