Perturbation	Response excess over subset
[5Z]-[AK]	-0.048255711127487166
[5Z]-[BI]	0.0019235073582898332
[5Z]-[CT]	0.0
[5Z]-[PD]	0.0010201210074574085
[5Z]-[PI]	-0.007375776397515743
[5Z]-[PK]	0.004538066179942457
[5Z]-[JN]	-5.657831744790842E-4
[5Z]-[D1]	-9.354255725855243E-4
[5Z]-[60]	4.774744410740439E-4
[5Z]-[SB]	0.0
[5Z]-[RU]	0.0
[5Z]-[D4]	0.0
[5Z]-[F4]	-7.459505541347333E-4
[5Z]-[ST]	0.00922037403015663
[5Z]-[G2]	-0.00434269710764279
[5Z]-[G4]	-1.6304347826101573E-4
[5Z]-[P5]	-1.2130827942591349E-4
[AK]-[BI]	0.030302428412664728
[AK]-[CT]	0.0
[AK]-[PD]	-0.01521414938890664
[AK]-[PI]	0.03954462326936192
[AK]-[PK]	-0.004657029713391103
[AK]-[JN]	0.01701187084520428
[AK]-[D1]	-0.06677857549857547
[AK]-[60]	-0.008913945658131639
[AK]-[SB]	-0.0032688172043009445
[AK]-[RU]	0.0
[AK]-[D4]	-0.0025257452574525274
[AK]-[F4]	-0.026917562724014354
[AK]-[ST]	-0.008559755110301603
[AK]-[G2]	0.016871218498112572
[AK]-[G4]	-0.004295213675213683
[AK]-[P5]	-0.005133211696621842
[BI]-[CT]	0.0
[BI]-[PD]	-0.0349259136722202
[BI]-[PI]	0.008924866067723136
[BI]-[PK]	-0.004508353192563597
[BI]-[JN]	0.006312824295280461
[BI]-[D1]	-0.0015415415415416245
[BI]-[60]	-0.004953559986402123
[BI]-[SB]	-1.234110823151724E-4
[BI]-[RU]	1.2012012012019291E-4
[BI]-[D4]	-1.234110823151724E-4
[BI]-[F4]	-1.5640640640746106E-5
[BI]-[ST]	0.0015035150092621574
[BI]-[G2]	0.003309180392513822
[BI]-[G4]	-0.003415915915915946
[BI]-[P5]	-0.007596248514347148
[CT]-[PD]	0.0
[CT]-[PI]	0.0
[CT]-[PK]	0.0
[CT]-[JN]	0.0
[CT]-[D1]	0.0
[CT]-[60]	0.0
[CT]-[SB]	0.0
[CT]-[RU]	0.0
[CT]-[D4]	0.0
[CT]-[F4]	0.0
[CT]-[ST]	0.0
[CT]-[G2]	0.0
[CT]-[G4]	0.0
[CT]-[P5]	0.0
[PD]-[PI]	-0.018433209313930665
[PD]-[PK]	-0.005108120836776142
[PD]-[JN]	-0.005045685466397498
[PD]-[D1]	0.014184187851525976
[PD]-[60]	0.004974147909082127
[PD]-[SB]	-2.5633631324306627E-4
[PD]-[RU]	0.0
[PD]-[D4]	0.0
[PD]-[F4]	-0.0026805269523717534
[PD]-[ST]	-0.0010610691597745525
[PD]-[G2]	-0.04400774091415649
[PD]-[G4]	-7.820927723841686E-4
[PD]-[P5]	-0.001801986396956945
[PI]-[PK]	-0.012682400662472282
[PI]-[JN]	-0.006568646699771641
[PI]-[D1]	0.016886903910713236
[PI]-[60]	-0.0023796706451746363
[PI]-[SB]	-0.0011181484087889881
[PI]-[RU]	5.477416191701501E-4
[PI]-[D4]	-5.434357651106225E-4
