Perturbation	Response excess over subset
[5Z]-[AK]	-0.16666666666666652
[5Z]-[BI]	0.0
[5Z]-[CT]	0.0
[5Z]-[PD]	-0.006711409395973256
[5Z]-[PI]	-0.10866781896165412
[5Z]-[PK]	-0.051546391752577136
[5Z]-[JN]	-0.1428571428571428
[5Z]-[D1]	-0.07825862365838243
[5Z]-[60]	0.0
[5Z]-[SB]	-0.022726220782226747
[5Z]-[RU]	0.0
[5Z]-[D4]	-0.032841163310961985
[5Z]-[F4]	-0.01497326203208571
[5Z]-[ST]	-4.988209686196399E-4
[5Z]-[G2]	-0.11322770817980832
[5Z]-[G4]	0.0
[5Z]-[P5]	-0.03397380850150267
[AK]-[BI]	0.0
[AK]-[CT]	-0.028239202657807105
[AK]-[PD]	-0.03533834586466167
[AK]-[PI]	-0.9764808362369337
[AK]-[PK]	-0.11969111969111967
[AK]-[JN]	0.0
[AK]-[D1]	-1.4428571428571428
[AK]-[60]	0.0
[AK]-[SB]	-0.10840336134453765
[AK]-[RU]	0.0
[AK]-[D4]	-0.1907563025210084
[AK]-[F4]	-0.4688311688311687
[AK]-[ST]	0.0
[AK]-[G2]	-1.1964285714285714
[AK]-[G4]	-0.01245085190039319
[AK]-[P5]	-0.16490299823633148
[BI]-[CT]	0.0
[BI]-[PD]	-0.012763932156455216
[BI]-[PI]	0.0
[BI]-[PK]	-0.06272593385995417
[BI]-[JN]	-0.2840244134999641
[BI]-[D1]	-0.17535231943628893
[BI]-[60]	0.0
[BI]-[SB]	0.0
[BI]-[RU]	0.0
[BI]-[D4]	0.0
[BI]-[F4]	-0.13444302176696543
[BI]-[ST]	-0.06898086337338682
[BI]-[G2]	-0.3123802505526896
[BI]-[G4]	0.0
[BI]-[P5]	-0.06421895861148164
[CT]-[PD]	0.0
[CT]-[PI]	-0.029203252032520277
[CT]-[PK]	0.0
[CT]-[JN]	0.0
[CT]-[D1]	0.0
[CT]-[60]	0.0
[CT]-[SB]	0.0
[CT]-[RU]	0.0
[CT]-[D4]	0.0
[CT]-[F4]	0.0
[CT]-[ST]	0.0
[CT]-[G2]	0.0
[CT]-[G4]	0.0
[CT]-[P5]	0.0
[PD]-[PI]	-0.07520325203252032
[PD]-[PK]	0.0
[PD]-[JN]	-0.014285714285714235
[PD]-[D1]	-0.01526717557251911
[PD]-[60]	0.0
[PD]-[SB]	-0.003424657534246478
[PD]-[RU]	0.0
[PD]-[D4]	-0.0033333333333329662
[PD]-[F4]	0.0
[PD]-[ST]	-2.908277404922721E-4
[PD]-[G2]	-0.017391304347825987
[PD]-[G4]	0.0
[PD]-[P5]	-0.006373637998518866
[PI]-[PK]	-0.4021263289555972
[PI]-[JN]	-1.4528628265006054
[PI]-[D1]	-0.27302933898904214
[PI]-[60]	0.0
[PI]-[SB]	-0.08339997334399563
[PI]-[RU]	0.0
[PI]-[D4]	-0.09939680041961707
[PI]-[F4]	-0.9699400941377835
[PI]-[ST]	-0.0436906469905034
[PI]-[G2]	-0.31687105165366014
[PI]-[G4]	0.0
[PI]-[P5]	-0.13876257406641868
[PK]-[JN]	-0.4371428571428573
[PK]-[D1]	-0.11150184406895947
[PK]-[60]	0.0
[PK]-[SB]	-0.051181922315942874
[PK]-[RU]	0.0
[PK]-[D4]	-0.0437092362718281
[PK]-[F4]	-0.1255857544517338
[PK]-[ST]	-0.08938750758035141
[PK]-[G2]	-0.21048593350383626
[PK]-[G4]	-0.030927835051546282
[PK]-[P5]	-0.14145970009372055
[JN]-[D1]	-0.2645433008686495
[JN]-[60]	0.0
[JN]-[SB]	-0.37252747252747254
[JN]-[RU]	0.0
[JN]-[D4]	-0.14903474903474923
[JN]-[F4]	0.0
[JN]-[ST]	0.0
[JN]-[G2]	-1.7642292490118576
[JN]-[G4]	-0.02741312741312729
[JN]-[P5]	-0.1926267281105991
[D1]-[60]	0.0
[D1]-[SB]	-0.02727539635936571
[D1]-[RU]	0.0
[D1]-[D4]	-0.041984732824427384
[D1]-[F4]	-0.9610389610389611
[D1]-[ST]	-0.021425364038745176
[D1]-[G2]	-0.02608695652173898
[D1]-[G4]	-0.08614291772688709
[D1]-[P5]	-0.06013067667227312
[60]-[SB]	0.0
[60]-[RU]	0.0
[60]-[D4]	0.0
[60]-[F4]	0.0
[60]-[ST]	0.0
[60]-[G2]	0.0
[60]-[G4]	0.0
[60]-[P5]	0.0
[SB]-[RU]	0.0
[SB]-[D4]	-0.0018264840182644626
[SB]-[F4]	-0.05113636363636376
[SB]-[ST]	-0.007321681624941068
[SB]-[G2]	-0.04347826086956519
[SB]-[G4]	0.0
[SB]-[P5]	-0.11659908083265735
[RU]-[D4]	0.0
[RU]-[F4]	0.0
[RU]-[ST]	0.0
[RU]-[G2]	0.0
[RU]-[G4]	0.0
[RU]-[P5]	0.0
[D4]-[F4]	0.0
[D4]-[ST]	-0.013333333333333197
[D4]-[G2]	-0.05850824587706138
[D4]-[G4]	0.0
[D4]-[P5]	-0.11697211573806632
[F4]-[ST]	-0.024033437826541437
[F4]-[G2]	-0.9119565217391303
[F4]-[G4]	-0.005681818181818343
[F4]-[P5]	-0.12595837897042728
[ST]-[G2]	-0.09776733254994108
[ST]-[G4]	0.0
[ST]-[P5]	0.0
[G2]-[G4]	0.0
[G2]-[P5]	-0.05759872357399276
[G4]-[P5]	0.0
