Perturbation	Response excess over subset
[5Z]-[AK]	-0.0213745899484884
[5Z]-[BI]	0.014434407630637525
[5Z]-[CT]	0.010206037506559462
[5Z]-[PD]	0.011585439094335181
[5Z]-[PI]	0.012232587195750044
[5Z]-[PK]	0.0072097194867578596
[5Z]-[JN]	0.00801932873320621
[5Z]-[D1]	0.00865210554464968
[5Z]-[60]	0.011566288783316003
[5Z]-[SB]	0.012028578069622431
[5Z]-[RU]	0.009512615518802559
[5Z]-[D4]	0.012005555517200062
[5Z]-[F4]	0.0071627631835275984
[5Z]-[ST]	0.01030679562834469
[5Z]-[G2]	0.011764635459974526
[5Z]-[G4]	0.010222746982627706
[5Z]-[P5]	0.008233942662619564
[AK]-[BI]	0.040023109324204165
[AK]-[CT]	0.006863667211209568
[AK]-[PD]	0.0055530220019675
[AK]-[PI]	0.01098946332749462
[AK]-[PK]	-4.3350673602771117E-4
[AK]-[JN]	0.02609421573559423
[AK]-[D1]	-0.06513708016856778
[AK]-[60]	0.008824126930488285
[AK]-[SB]	-0.02294414483916818
[AK]-[RU]	0.007326970966958335
[AK]-[D4]	-0.025242410354166633
[AK]-[F4]	-8.469505046014847E-4
[AK]-[ST]	0.0029177528436568068
[AK]-[G2]	-1.8689645236968921E-4
[AK]-[G4]	0.004933060766394215
[AK]-[P5]	0.0019629892266774807
[BI]-[CT]	0.006415952052795659
[BI]-[PD]	0.01319644188771707
[BI]-[PI]	-0.007318945912211716
[BI]-[PK]	0.01141229403031907
[BI]-[JN]	-0.011650795807849557
[BI]-[D1]	-0.002202077437658434
[BI]-[60]	0.013190870557728496
[BI]-[SB]	0.008458194979116596
[BI]-[RU]	0.00931648990614764
[BI]-[D4]	0.013701523668116056
[BI]-[F4]	0.00739085386947913
[BI]-[ST]	-0.0031866289613359244
[BI]-[G2]	-0.031096163536639687
[BI]-[G4]	0.01157907113462675
[BI]-[P5]	0.012547850880175293
[CT]-[PD]	0.009893114591101204
[CT]-[PI]	0.008721796509152724
[CT]-[PK]	0.008495489546039292
[CT]-[JN]	0.01007614942395485
[CT]-[D1]	0.008154599571860155
[CT]-[60]	0.009890969621306755
[CT]-[SB]	0.01022068257634079
[CT]-[RU]	0.009894179894179955
[CT]-[D4]	0.010150952734471641
[CT]-[F4]	0.008075010239307234
[CT]-[ST]	0.009493510604621669
[CT]-[G2]	0.01037600259822491
[CT]-[G4]	0.009900137174211121
[CT]-[P5]	0.009738737930828356
[PD]-[PI]	-0.0018920838797603645
[PD]-[PK]	0.009751234800873032
[PD]-[JN]	0.01013453913192186
[PD]-[D1]	0.007396534611203265
[PD]-[60]	0.009965311816605094
[PD]-[SB]	0.011505516404500593
[PD]-[RU]	0.009898276834864994
[PD]-[D4]	0.011393407888759866
[PD]-[F4]	0.00833936119057821
[PD]-[ST]	0.009581883388481427
[PD]-[G2]	8.349211100027176E-4
[PD]-[G4]	0.009905543127019745
[PD]-[P5]	0.008724890534276719
[PI]-[PK]	-0.00319565962796986
[PI]-[JN]	-0.029847539179755467
[PI]-[D1]	0.04020727537062829
[PI]-[60]	0.01412028068362814
[PI]-[SB]	0.0031899826110444174
[PI]-[RU]	0.007440355810592658
[PI]-[D4]	-8.218363376377713E-4
[PI]-[F4]	-0.00806172278074413
[PI]-[ST]	-0.020183354455788893
[PI]-[G2]	0.056939256716774245
[PI]-[G4]	0.019586699436672794
[PI]-[P5]	0.005591578255302432
[PK]-[JN]	-5.37353233518556E-4
[PK]-[D1]	-0.008506520491171066
[PK]-[60]	0.009327904102108153
[PK]-[SB]	0.004636534745290577
[PK]-[RU]	0.009321970689253889
[PK]-[D4]	0.010914571000871898
[PK]-[F4]	0.01252620670864213
[PK]-[ST]	-0.0339015357456367
[PK]-[G2]	-0.00630231412116089
[PK]-[G4]	0.00745259021744904
[PK]-[P5]	0.004400364062209783
[JN]-[D1]	0.003397634194122312
[JN]-[60]	0.009457000194349363
[JN]-[SB]	0.0028898113816449023
[JN]-[RU]	0.00820728280115024
[JN]-[D4]	0.008844762789843252
[JN]-[F4]	0.004029073811290029
[JN]-[ST]	7.470285119601794E-4
[JN]-[G2]	-0.0493655012362092
[JN]-[G4]	0.006681992625558242
[JN]-[P5]	-1.8228501291783772E-4
[D1]-[60]	0.007026035677645148
[D1]-[SB]	0.009213585791662093
[D1]-[RU]	0.008023740597783102
[D1]-[D4]	0.006260518983103758
[D1]-[F4]	-0.02411023543240698
[D1]-[ST]	-0.014437896003036355
[D1]-[G2]	0.11063635765317237
[D1]-[G4]	0.007822067732722093
[D1]-[P5]	0.005778098968948431
[60]-[SB]	0.011489777947685464
[60]-[RU]	0.009045556448821435
[60]-[D4]	0.011349322909656623
[60]-[F4]	0.008180236789321449
[60]-[ST]	0.009491127497805452
[60]-[G2]	0.009925666823815238
[60]-[G4]	0.009906783187682122
[60]-[P5]	0.010286104101078775
[SB]-[RU]	0.009639327917238427
[SB]-[D4]	0.014501689667055895
[SB]-[F4]	0.00718331600770028
[SB]-[ST]	0.008202499627475546
[SB]-[G2]	5.320183053055816E-4
[SB]-[G4]	0.012185014113420545
[SB]-[P5]	0.005478111662410967
[RU]-[D4]	0.009551021722633113
[RU]-[F4]	0.007768634937342256
[RU]-[ST]	0.008455975092757861
[RU]-[G2]	0.008669182604165715
[RU]-[G4]	0.009904927248677309
[RU]-[P5]	0.010883291295003983
[D4]-[F4]	0.011211037733565354
[D4]-[ST]	0.01065131354663651
[D4]-[G2]	-0.0034810712887597406
[D4]-[G4]	0.012024251422915189
[D4]-[P5]	0.008534408218695111
[F4]-[ST]	0.00844919184206161
[F4]-[G2]	-0.014674323939632306
[F4]-[G4]	0.008852319934468333
[F4]-[P5]	0.005621620313188913
[ST]-[G2]	-0.03201077120278062
[ST]-[G4]	0.009422482962534673
[ST]-[P5]	0.003907646138561982
[G2]-[G4]	0.01801768858144437
[G2]-[P5]	0.005864267884732044
[G4]-[P5]	0.014744716467880337
