Perturbation	Response excess over subset
[5Z]-[AK]	-0.19438193528361924
[5Z]-[BI]	-0.006170355466130317
[5Z]-[CT]	0.0
[5Z]-[PD]	0.0
[5Z]-[PI]	-0.010959146526443142
[5Z]-[PK]	-0.048836678421030566
[5Z]-[JN]	-0.04426483188318686
[5Z]-[D1]	-0.024665672707895103
[5Z]-[60]	0.0
[5Z]-[SB]	-0.013061235107434399
[5Z]-[RU]	-0.0022371364653244186
[5Z]-[D4]	-0.02103328772459001
[5Z]-[F4]	-0.03467820918373077
[5Z]-[ST]	-0.030541055188942234
[5Z]-[G2]	-0.006061085197775817
[5Z]-[G4]	0.0
[5Z]-[P5]	-0.04358353510895885
[AK]-[BI]	0.0
[AK]-[CT]	-0.002098420013166624
[AK]-[PD]	-0.00869666048237483
[AK]-[PI]	-0.4047777989700554
[AK]-[PK]	-0.13355342136854742
[AK]-[JN]	0.0
[AK]-[D1]	-1.2028811524609844
[AK]-[60]	0.0
[AK]-[SB]	-0.19790547798066604
[AK]-[RU]	0.0
[AK]-[D4]	-0.2397572665429809
[AK]-[F4]	-0.7698880995198555
[AK]-[ST]	-0.10085527987128473
[AK]-[G2]	-0.8100814096130255
[AK]-[G4]	-0.010590599876314277
[AK]-[P5]	-0.08001144382986847
[BI]-[CT]	-0.02222033706594262
[BI]-[PD]	0.0
[BI]-[PI]	-0.17277074991224195
[BI]-[PK]	-0.07220714550877494
[BI]-[JN]	-0.21102227570809706
[BI]-[D1]	-0.13019065336779767
[BI]-[60]	0.0
[BI]-[SB]	-0.033759518127059795
[BI]-[RU]	-0.0029100529100531958
[BI]-[D4]	-0.04166666666666652
[BI]-[F4]	-0.07427746009765168
[BI]-[ST]	-0.16023883988708088
[BI]-[G2]	-0.3036630036630035
[BI]-[G4]	0.0
[BI]-[P5]	-0.053479853479853734
[CT]-[PD]	-4.1759880686065287E-4
[CT]-[PI]	-0.002873563218390718
[CT]-[PK]	-0.009296916930049637
[CT]-[JN]	0.0
[CT]-[D1]	-0.0011876484560569
[CT]-[60]	-6.991260923845388E-4
[CT]-[SB]	0.0
[CT]-[RU]	-2.777777777778212E-4
[CT]-[D4]	0.0
[CT]-[F4]	-0.0023696682464455776
[CT]-[ST]	-0.0034965034965033226
[CT]-[G2]	0.0
[CT]-[G4]	0.0
[CT]-[P5]	-0.002421307506053072
[PD]-[PI]	-0.064942528735632
[PD]-[PK]	0.0
[PD]-[JN]	0.0
[PD]-[D1]	-0.004270539658578709
[PD]-[60]	0.0
[PD]-[SB]	0.0
[PD]-[RU]	-2.714727396124772E-4
[PD]-[D4]	0.0
[PD]-[F4]	0.0
[PD]-[ST]	-0.0011983321842476968
[PD]-[G2]	-0.04368506733659183
[PD]-[G4]	0.0
[PD]-[P5]	-0.006724872306957952
[PI]-[PK]	-0.1862042109786226
[PI]-[JN]	-0.33011352107337233
[PI]-[D1]	-0.3038059355120539
[PI]-[60]	0.0
[PI]-[SB]	-0.0576972270541285
[PI]-[RU]	-0.008828270000976524
[PI]-[D4]	-0.11756157635467979
[PI]-[F4]	-0.6010818363848514
[PI]-[ST]	-0.2720710427918567
[PI]-[G2]	-0.20391648908759175
[PI]-[G4]	0.0
[PI]-[P5]	-0.08352822799956483
[PK]-[JN]	-0.16811065555200422
[PK]-[D1]	-0.20267143782583208
[PK]-[60]	-0.0028029388389039234
[PK]-[SB]	-0.05606843502306402
[PK]-[RU]	-0.0024449877750609694
[PK]-[D4]	-0.0574780337777141
[PK]-[F4]	-0.07860661178196726
[PK]-[ST]	-0.36823311646153645
[PK]-[G2]	-0.18958597843059977
[PK]-[G4]	-0.011249323315427162
[PK]-[P5]	-0.1014184810028329
[JN]-[D1]	-0.11671970822195576
[JN]-[60]	-0.002210751081600737
[JN]-[SB]	-0.06680911333133022
[JN]-[RU]	-0.009314282546279973
[JN]-[D4]	-0.0702784958306708
[JN]-[F4]	-0.11485840042995554
[JN]-[ST]	-0.16085324779782795
[JN]-[G2]	-0.43342490842490844
[JN]-[G4]	-0.016046591037256253
[JN]-[P5]	-0.12931105595565828
[D1]-[60]	-0.006712183809706174
[D1]-[SB]	-0.014472260765268974
[D1]-[RU]	-3.9871055310491954E-4
[D1]-[D4]	-0.0646844248388192
[D1]-[F4]	-1.0302456493286152
[D1]-[ST]	-0.2236808082022912
[D1]-[G2]	-0.2728924448889445
[D1]-[G4]	0.0
[D1]-[P5]	-0.07161611782449673
[60]-[SB]	0.0
[60]-[RU]	-0.0053850682091574065
[60]-[D4]	0.0
[60]-[F4]	-4.7393364928915993E-4
[60]-[ST]	-0.002006641157584532
[60]-[G2]	0.0
[60]-[G4]	0.0
[60]-[P5]	0.0
[SB]-[RU]	-0.0015619725328606116
[SB]-[D4]	0.0
[SB]-[F4]	-0.027634427476449508
[SB]-[ST]	-0.034933917215470345
[SB]-[G2]	-0.06662596662596654
[SB]-[G4]	0.0
[SB]-[P5]	-0.05183165827207059
