Perturbation	Response excess over subset
[5Z]-[AK]	-0.13512908405904522
[5Z]-[BI]	0.0
[5Z]-[CT]	0.0
[5Z]-[PD]	-0.0022321428571427937
[5Z]-[PI]	-0.044619422572178546
[5Z]-[PK]	-0.02108748692924367
[5Z]-[JN]	-0.014928818776452246
[5Z]-[D1]	-0.02464456365608436
[5Z]-[60]	0.0
[5Z]-[SB]	-0.00946449383949366
[5Z]-[RU]	0.0
[5Z]-[D4]	-0.017965850037119147
[5Z]-[F4]	-0.009063580679429695
[5Z]-[ST]	-0.013691873066172366
[5Z]-[G2]	-0.03929178470254957
[5Z]-[G4]	-0.008928571428571175
[5Z]-[P5]	-0.011837243275758524
[AK]-[BI]	0.0
[AK]-[CT]	-0.020144724556489413
[AK]-[PD]	-0.0025314723590585952
[AK]-[PI]	-0.8704380702412199
[AK]-[PK]	-0.12221149721149727
[AK]-[JN]	-0.03963492063492069
[AK]-[D1]	-1.40244243237201
[AK]-[60]	0.0
[AK]-[SB]	-0.09796050203026951
[AK]-[RU]	0.0
[AK]-[D4]	-0.1987356958287192
[AK]-[F4]	-0.5401704397606037
[AK]-[ST]	0.0
[AK]-[G2]	-1.1509989053092502
[AK]-[G4]	0.0
[AK]-[P5]	-0.13129229115284902
[BI]-[CT]	-0.008237822349570045
[BI]-[PD]	-0.003939828080229191
[BI]-[PI]	0.0
[BI]-[PK]	-0.03407305577376274
[BI]-[JN]	-0.08191846764605959
[BI]-[D1]	-0.13485855394560065
[BI]-[60]	-3.6023054755052186E-4
[BI]-[SB]	0.0
[BI]-[RU]	-0.012434554973821843
[BI]-[D4]	0.0
[BI]-[F4]	-0.10139474212321908
[BI]-[ST]	-0.07934782608695645
[BI]-[G2]	-0.2548648648648648
[BI]-[G4]	0.0
[BI]-[P5]	-0.07127507163323799
[CT]-[PD]	0.0
[CT]-[PI]	-0.024611589467065986
[CT]-[PK]	0.0
[CT]-[JN]	0.0
[CT]-[D1]	0.0
[CT]-[60]	0.0
[CT]-[SB]	0.0
[CT]-[RU]	0.0
[CT]-[D4]	0.0
[CT]-[F4]	0.0
[CT]-[ST]	0.0
[CT]-[G2]	0.0
[CT]-[G4]	0.0
[CT]-[P5]	0.0
[PD]-[PI]	-0.03662187813555007
[PD]-[PK]	0.0
[PD]-[JN]	-0.004347826086956719
[PD]-[D1]	-0.002261828833298063
[PD]-[60]	0.0
[PD]-[SB]	-0.0011600928074249062
[PD]-[RU]	0.0
[PD]-[D4]	-0.0011111111111108407
[PD]-[F4]	0.0
[PD]-[ST]	-0.00111358574610243
[PD]-[G2]	-0.0038810198300283094
[PD]-[G4]	0.0
[PD]-[P5]	-0.002074245145839093
[PI]-[PK]	-0.35771746664073967
[PI]-[JN]	-1.3426615475377457
[PI]-[D1]	-0.3077344649542444
[PI]-[60]	0.0
[PI]-[SB]	-0.0580468905228575
[PI]-[RU]	0.0
[PI]-[D4]	-0.07305315473261165
[PI]-[F4]	-0.9654665678220443
[PI]-[ST]	-0.07720899206446852
[PI]-[G2]	-0.40306317303631767
[PI]-[G4]	0.0
[PI]-[P5]	-0.1404351958806549
[PK]-[JN]	-0.32517259333197845
[PK]-[D1]	-0.09271264015789571
[PK]-[60]	0.0
[PK]-[SB]	-0.02078947368421069
[PK]-[RU]	-0.0026747195858498607
[PK]-[D4]	-0.04037963761863672
[PK]-[F4]	-0.10807337051237376
[PK]-[ST]	-0.13478588945481995
[PK]-[G2]	-0.14603112840466936
[PK]-[G4]	-0.016447368421052655
[PK]-[P5]	-0.14238880028353718
[JN]-[D1]	-0.29687347931873487
[JN]-[60]	0.0
[JN]-[SB]	-0.2408590885280253
[JN]-[RU]	0.0
[JN]-[D4]	-0.07532515793385341
[JN]-[F4]	-0.22385561458409153
[JN]-[ST]	0.0
[JN]-[G2]	-1.3986956521739131
[JN]-[G4]	-0.030471318962367544
[JN]-[P5]	-0.17845156369183846
[D1]-[60]	0.0
[D1]-[SB]	-0.013944186389441837
[D1]-[RU]	0.0
[D1]-[D4]	-0.03284671532846728
[D1]-[F4]	-1.0242746200390682
[D1]-[ST]	-0.06715199390759419
[D1]-[G2]	-0.03358974358974365
[D1]-[G4]	-0.055716071911327436
[D1]-[P5]	-0.04383276685054138
[60]-[SB]	0.0
[60]-[RU]	0.0
[60]-[D4]	0.0
[60]-[F4]	0.0
[60]-[ST]	0.0
[60]-[G2]	0.0
[60]-[G4]	0.0
[60]-[P5]	0.0
[SB]-[RU]	0.0
[SB]-[D4]	-0.0029389017788088445
[SB]-[F4]	-0.017596003887620615
[SB]-[ST]	-0.009633811570933126
[SB]-[G2]	-0.016224783861671588
[SB]-[G4]	-0.0011600928074249062
[SB]-[P5]	-0.06481481481481488
[RU]-[D4]	0.0
[RU]-[F4]	0.0
[RU]-[ST]	0.0
[RU]-[G2]	-0.001267605633802793
[RU]-[G4]	0.0
[RU]-[P5]	0.0
[D4]-[F4]	0.0
[D4]-[ST]	-0.02444444444444427
[D4]-[G2]	-0.03928774928774925
[D4]-[G4]	-0.0011111111111108407
[D4]-[P5]	-0.0794414506885639
[F4]-[ST]	-0.053002658016849225
[F4]-[G2]	-0.9319491525423729
[F4]-[G4]	-0.018211920529801473
[F4]-[P5]	-0.08982355075750714
[ST]-[G2]	-0.13117647058823523
[ST]-[G4]	-0.007795100222717455
[ST]-[P5]	-0.017029267029267103
[G2]-[G4]	0.0
[G2]-[P5]	-0.05979472140762465
[G4]-[P5]	0.0
