Perturbation	Response excess over subset
[5Z]-[AK]	-0.019621848739495795
[5Z]-[BI]	0.02079525257947168
[5Z]-[CT]	0.010845679012345677
[5Z]-[PD]	0.014761111111111336
[5Z]-[PI]	0.014124228395061889
[5Z]-[PK]	0.0031475102070576133
[5Z]-[JN]	0.0028329528158296258
[5Z]-[D1]	0.010012626262626334
[5Z]-[60]	0.014761111111111336
[5Z]-[SB]	0.016480530187721998
[5Z]-[RU]	0.00976111111111122
[5Z]-[D4]	0.01653209876543238
[5Z]-[F4]	0.009942632850241662
[5Z]-[ST]	0.00899880322499369
[5Z]-[G2]	0.005901783094976243
[5Z]-[G4]	0.011983333333333568
[5Z]-[P5]	0.005072603717512614
[AK]-[BI]	0.034228189819415
[AK]-[CT]	0.0074348931491788894
[AK]-[PD]	0.0023816128393105984
[AK]-[PI]	0.01766817838246426
[AK]-[PK]	0.011990949839476905
[AK]-[JN]	0.03611092434199281
[AK]-[D1]	-0.05743322379850402
[AK]-[60]	0.006938775510204165
[AK]-[SB]	-0.01017160025232422
[AK]-[RU]	0.006938775510204165
[AK]-[D4]	-0.019184763649049308
[AK]-[F4]	-0.005196009563245618
[AK]-[ST]	0.011180770195654333
[AK]-[G2]	0.010384615384615326
[AK]-[G4]	0.00723598177134932
[AK]-[P5]	0.002883163235028574
[BI]-[CT]	0.004241002985556297
[BI]-[PD]	0.01922222222222225
[BI]-[PI]	-5.400448018524351E-4
[BI]-[PK]	0.004417149381381713
[BI]-[JN]	-0.014366588162975424
[BI]-[D1]	-0.0036821203487870102
[BI]-[60]	0.02014814814814825
[BI]-[SB]	0.00997940314295842
[BI]-[RU]	0.011117199391172061
[BI]-[D4]	0.017396433470507566
[BI]-[F4]	0.006657848324514992
[BI]-[ST]	-1.8797829644401354E-4
[BI]-[G2]	-0.03472868900646686
[BI]-[G4]	0.014592592592592712
[BI]-[P5]	0.017074126763940822
[CT]-[PD]	0.009888888888889058
[CT]-[PI]	0.008410493827160526
[CT]-[PK]	0.0057880622995043485
[CT]-[JN]	0.010705225773718907
[CT]-[D1]	0.00841103341103333
[CT]-[60]	0.009888888888889058
[CT]-[SB]	0.010851090816844211
[CT]-[RU]	0.009888888888889058
[CT]-[D4]	0.01079012345679009
[CT]-[F4]	0.00791062801932374
[CT]-[ST]	0.009076593600403027
[CT]-[G2]	0.009747821350762464
[CT]-[G4]	0.009888888888889058
[CT]-[P5]	0.009624222762908752
[PD]-[PI]	-0.007271341463414349
[PD]-[PK]	0.010454774883909002
[PD]-[JN]	0.011917808219178316
[PD]-[D1]	0.008260327635327691
[PD]-[60]	0.009900000000000131
[PD]-[SB]	0.014902968036529685
[PD]-[RU]	0.009900000000000131
[PD]-[D4]	0.01471111111111123
[PD]-[F4]	0.00847633364168987
[PD]-[ST]	0.009699546485260835
[PD]-[G2]	-8.425054102767504E-4
[PD]-[G4]	0.009900000000000131
[PD]-[P5]	0.009756690997567041
[PI]-[PK]	-0.0053611984626132925
[PI]-[JN]	-0.024590683767081623
[PI]-[D1]	0.04888721269769658
[PI]-[60]	0.014523809523809939
[PI]-[SB]	0.006216033934355991
[PI]-[RU]	0.005726540616246778
[PI]-[D4]	0.0025617283950619685
[PI]-[F4]	-0.008618110452349392
[PI]-[ST]	-0.017875492161710915
[PI]-[G2]	0.0729265606332139
[PI]-[G4]	0.03701992753623229
[PI]-[P5]	0.004000039161885183
[PK]-[JN]	0.010140360772540435
[PK]-[D1]	-0.004901834823094586
[PK]-[60]	0.009652230971128772
[PK]-[SB]	-0.002346399765097873
[PK]-[RU]	0.008621842191601337
[PK]-[D4]	0.003686766718262846
[PK]-[F4]	0.005413608709916695
[PK]-[ST]	-0.03484648312036576
[PK]-[G2]	-0.01322006893534855
[PK]-[G4]	0.006315438767828807
[PK]-[P5]	0.010129465867483867
[JN]-[D1]	0.012985188327654051
[JN]-[60]	0.009634703196347183
[JN]-[SB]	-0.0056163368482506915
[JN]-[RU]	0.009634703196347183
[JN]-[D4]	-0.0034145104008116434
[JN]-[F4]	0.008668092954243867
[JN]-[ST]	-2.5021477710218676E-4
[JN]-[G2]	-0.04171007672475391
[JN]-[G4]	0.001719939117199587
[JN]-[P5]	-0.007192398504759945
[D1]-[60]	0.008094405594405663
[D1]-[SB]	0.007463458776038823
[D1]-[RU]	0.008094405594405663
[D1]-[D4]	0.004735819735819713
[D1]-[F4]	-0.024117639606770047
[D1]-[ST]	-0.015193097103034958
[D1]-[G2]	0.11169157231657234
[D1]-[G4]	0.008094405594405663
[D1]-[P5]	0.003843601653820472
[60]-[SB]	0.014902968036529685
[60]-[RU]	0.009900000000000131
[60]-[D4]	0.01471111111111123
[60]-[F4]	0.008206521739130501
[60]-[ST]	0.009699546485260835
[60]-[G2]	-3.705009264822756E-4
[60]-[G4]	0.009900000000000131
[60]-[P5]	0.009756690997567041
[SB]-[RU]	0.009765981735159968
[SB]-[D4]	0.0219342973110096
[SB]-[F4]	0.00638840676012431
[SB]-[ST]	0.00728951640155151
[SB]-[G2]	-0.001076756220142694
[SB]-[G4]	0.014332191780822012
[SB]-[P5]	0.00984990638581218
[RU]-[D4]	0.009711111111111226
[RU]-[F4]	0.007098712334480339
[RU]-[ST]	0.007998866213151934
[RU]-[G2]	0.0029687710437711345
[RU]-[G4]	0.009900000000000131
[RU]-[P5]	0.009507255509461077
[D4]-[F4]	0.007279299847793075
[D4]-[ST]	0.011895092371282834
[D4]-[G2]	-0.007426780626780594
[D4]-[G4]	0.01415555555555581
[D4]-[P5]	0.012057959260434514
[F4]-[ST]	0.02042064919026343
[F4]-[G2]	-0.007568432473323838
[F4]-[G4]	0.00881038647343002
[F4]-[P5]	0.006648365598222683
[ST]-[G2]	-0.02633267195767197
[ST]-[G4]	0.007998866213151934
[ST]-[P5]	0.005759649128440958
[G2]-[G4]	0.024880326460481106
[G2]-[P5]	0.005929988043578027
[G4]-[P5]	0.016101979730084537
