Perturbation	Response excess over subset
[5Z]-[AK]	-0.21718687474989995
[5Z]-[BI]	-0.013607085346215797
[5Z]-[CT]	0.0
[5Z]-[PD]	0.0
[5Z]-[PI]	-0.04166666666666652
[5Z]-[PK]	-0.11946358267716528
[5Z]-[JN]	-0.12109969558599687
[5Z]-[D1]	-0.05594405594405605
[5Z]-[60]	0.0
[5Z]-[SB]	-0.03817351598173513
[5Z]-[RU]	0.0
[5Z]-[D4]	-0.040000000000000036
[5Z]-[F4]	-0.05797101449275366
[5Z]-[ST]	-0.08503401360544238
[5Z]-[G2]	-0.07579207920792075
[5Z]-[G4]	0.0
[5Z]-[P5]	-0.10941028199338376
[AK]-[BI]	0.0
[AK]-[CT]	-0.0016491445062873922
[AK]-[PD]	-0.02734297602536162
[AK]-[PI]	-0.38548752834467115
[AK]-[PK]	-0.07283977420755527
[AK]-[JN]	0.0
[AK]-[D1]	-1.1379488504262465
[AK]-[60]	0.0
[AK]-[SB]	-0.15845761381475665
[AK]-[RU]	0.0
[AK]-[D4]	-0.23538069073783352
[AK]-[F4]	-0.7778486394557822
[AK]-[ST]	-0.05800214822771199
[AK]-[G2]	-0.8709576138147566
[AK]-[G4]	0.0
[AK]-[P5]	-0.08399701343952204
[BI]-[CT]	-0.038916122004357234
[BI]-[PD]	0.0
[BI]-[PI]	-0.1861620795107033
[BI]-[PK]	-0.17369152385363584
[BI]-[JN]	-0.2860304100872719
[BI]-[D1]	-0.18997668997668993
[BI]-[60]	0.0
[BI]-[SB]	-0.07568082788671049
[BI]-[RU]	0.0
[BI]-[D4]	-0.06296296296296289
[BI]-[F4]	-0.13026224982746726
[BI]-[ST]	-0.17516835016835053
[BI]-[G2]	-0.3692857142857142
[BI]-[G4]	0.0
[BI]-[P5]	-0.03849423193685508
[CT]-[PD]	0.0
[CT]-[PI]	-0.008333333333333304
[CT]-[PK]	-0.02961983267716528
[CT]-[JN]	0.0
[CT]-[D1]	-0.0034965034965035446
[CT]-[60]	0.0
[CT]-[SB]	0.0
[CT]-[RU]	0.0
[CT]-[D4]	0.0
[CT]-[F4]	-0.007246376811594235
[CT]-[ST]	-0.010204081632653406
[CT]-[G2]	0.0
[CT]-[G4]	0.0
[CT]-[P5]	-0.007299270072993025
[PD]-[PI]	-0.09654471544715415
[PD]-[PK]	0.0
[PD]-[JN]	0.0
[PD]-[D1]	0.0
[PD]-[60]	0.0
[PD]-[SB]	0.0
[PD]-[RU]	0.0
[PD]-[D4]	0.0
[PD]-[F4]	0.0
[PD]-[ST]	0.0
[PD]-[G2]	-0.051605032461660816
[PD]-[G4]	0.0
[PD]-[P5]	0.0
[PI]-[PK]	-0.216194968553459
[PI]-[JN]	-0.34084699453551903
[PI]-[D1]	-0.2800304534175502
[PI]-[60]	0.0
[PI]-[SB]	-0.08653846153846123
[PI]-[RU]	-0.01855742296918761
[PI]-[D4]	-0.13749999999999973
[PI]-[F4]	-0.63300395256917
[PI]-[ST]	-0.26624293785310726
[PI]-[G2]	-0.11198924731182802
[PI]-[G4]	0.0
[PI]-[P5]	-0.10475077881619921
[PK]-[JN]	-0.1401969178082192
[PK]-[D1]	-0.19831002331002323
[PK]-[60]	0.0
[PK]-[SB]	-0.14960629921259816
[PK]-[RU]	-0.006182332677165281
[PK]-[D4]	-0.1451847365233192
[PK]-[F4]	-0.13875679347826098
[PK]-[ST]	-0.3830817019432202
[PK]-[G2]	-0.24120689655172423
[PK]-[G4]	-0.020020753219800902
[PK]-[P5]	-0.08013168612544108
[JN]-[D1]	-0.09950049950049955
[JN]-[60]	0.0
[JN]-[SB]	-0.16897981254506123
[JN]-[RU]	0.0
[JN]-[D4]	-0.18748858447488592
[JN]-[F4]	-0.12786041189931363
[JN]-[ST]	-0.1751881149913177
[JN]-[G2]	-0.4203061224489797
[JN]-[G4]	-0.0474885844748858
[JN]-[P5]	-0.18380699243508491
[D1]-[60]	0.0
[D1]-[SB]	-0.06887357247069481
[D1]-[RU]	0.0
[D1]-[D4]	-0.11188811188811187
[D1]-[F4]	-1.0157342657342658
[D1]-[ST]	-0.23707813925205223
[D1]-[G2]	-0.21690476190476193
[D1]-[G4]	0.0
[D1]-[P5]	-0.09510489510489517
[60]-[SB]	0.0
[60]-[RU]	0.0
[60]-[D4]	0.0
[60]-[F4]	0.0
[60]-[ST]	0.0
[60]-[G2]	-0.04877300555889419
[60]-[G4]	0.0
[60]-[P5]	0.0
[SB]-[RU]	0.0
[SB]-[D4]	-0.004748858447488402
[SB]-[F4]	-0.0768981181051267
[SB]-[ST]	-0.09245516388373565
[SB]-[G2]	-0.11539603960396039
[SB]-[G4]	0.0
[SB]-[P5]	-0.07789519555507152
[RU]-[D4]	0.0
[RU]-[F4]	-0.006646856427901193
[RU]-[ST]	-0.010204081632653406
[RU]-[G2]	-0.028737373737373728
[RU]-[G4]	0.0
[RU]-[P5]	-0.0014966129286353436
[D4]-[F4]	-0.09857057772483624
[D4]-[ST]	-0.09675491818348991
[D4]-[G2]	-0.17903846153846148
[D4]-[G4]	0.0
[D4]-[P5]	-0.06942028985507243
[F4]-[ST]	-0.025416802876757183
[F4]-[G2]	-0.8802747252747253
[F4]-[G4]	0.0
[F4]-[P5]	-0.07991304347826089
[ST]-[G2]	-0.2978571428571428
[ST]-[G4]	-0.010204081632653406
[ST]-[P5]	-0.10704132399228383
[G2]-[G4]	0.0
[G2]-[P5]	-0.0776804123711341
[G4]-[P5]	0.0
